Sample_no,ICP
0,0.004068154714386836
1,0.004068154714386836
2,0.004415032010884815
3,0.005757344512369935
4,0.008688296553203327
5,0.012076368248103441
6,0.01890042690049032
7,0.03020991267046203
8,0.046407392620725504
9,0.06774852242111382
10,0.09449450227749003
11,0.12643518686028354
12,0.16288455504801835
13,0.20305448488243186
14,0.24596087543459336
15,0.2902637959486843
16,0.334615351247166
17,0.3779186914080555
18,0.41916161280323605
19,0.4574341650910352
20,0.4922089514000454
21,0.5233361608967307
22,0.550846332479884
23,0.5749467519901867
24,0.5960247455380995
25,0.6145173028083885
26,0.6309127040758465
27,0.6458129486259798
28,0.659765956853692
29,0.6730967290857702
30,0.6860278978748815
31,0.698815738070428
32,0.7116755584690415
33,0.7247301930695149
34,0.7380714239737147
35,0.7517411284957796
36,0.765668597412975
37,0.7797257503213598
38,0.7938000324017386
39,0.8077771285087492
40,0.8215557155672741
41,0.8351190335575044
42,0.8484907267448185
43,0.8615847853625697
44,0.8741958078341759
45,0.8861957967782492
46,0.8976752648837154
47,0.9088194716410765
48,0.9196788656534076
49,0.9301123765010153
50,0.9399050652202704
51,0.9488942684647012
52,0.9570620642164458
53,0.964549778164313
54,0.9714778108012182
55,0.9777318197316648
56,0.9830589840486479
57,0.9873657172076814
58,0.9907850048528806
59,0.9935089093048632
60,0.9956749374721237
61,0.9972941493009114
62,0.998181392266307
63,0.9980968521637799
64,0.9969856178065988
65,0.9948901700777055
66,0.9916615949463836
67,0.9869555306547277
68,0.9804142837772386
69,0.9716954461672515
70,0.9605199435718708
71,0.9468443378020017
72,0.93079666985952
73,0.9124504575032745
74,0.8919753272583997
75,0.8699767340142662
76,0.8473799324614039
77,0.8250722704789684
78,0.803884309204584
79,0.7846604902031686
80,0.7680544685129629
81,0.7544373816618284
82,0.7440771679469993
83,0.7370544462692445
84,0.7329470008641237
85,0.7309660261778504
86,0.730413325108207
87,0.7307157935366088
88,0.7311907269494587
89,0.7311785525300117
90,0.7302991485935529
91,0.7283251489177736
92,0.7250038682007135
93,0.7201987912977134
94,0.7139762672315447
95,0.7064326764067684
96,0.6976538501552362
97,0.687832352953452
98,0.677155900373614
99,0.6656321820144688
100,0.6532575623740745
101,0.640243176485114
102,0.6268798066163023
103,0.6133296121619838
104,0.5996734017261288
105,0.5859822225024203
106,0.572292551220326
107,0.5586905380476905
108,0.5453786728467223
109,0.5324876575839965
110,0.5199425809581312
111,0.5076559423962222
112,0.49566807804015484
113,0.4839987164165867
114,0.4725812645070526
115,0.4613904949654144
116,0.4504202651633976
117,0.4395673312460274
118,0.4287405821512329
119,0.41799430994553294
120,0.4073892945311906
121,0.39685631236740315
122,0.38631488210845816
123,0.3757881890917826
124,0.3653399666502837
125,0.35500202151022
126,0.3447552176915945
127,0.3345278009256325
128,0.32428033829495884
129,0.3140965707421141
130,0.30409997385067855
131,0.2943250783898305
132,0.28474491119016637
133,0.27534532182850435
134,0.26614960850002056
135,0.25725117103667905
136,0.2487452159263337
137,0.24055292916149806
138,0.23248864460631966
139,0.22454603506789567
140,0.21686702144313985
141,0.20943743112962876
142,0.20209452040410414
143,0.1947564104655423
144,0.187412345404893
145,0.1800776846462777
146,0.17290540393149262
147,0.1660405088597317
148,0.15932799134259792
149,0.1525351738151382
150,0.14576368703930018
151,0.13925473465304997
152,0.13302112036557587
153,0.12700671869627886
154,0.12125459399077586
155,0.11569200192503218
156,0.11018707089365201
157,0.10489366780699598
158,0.1000766483895327
159,0.0956845852899918
160,0.09151461658327728
161,0.08755403447105362
162,0.08383401734855613
163,0.08028497721187795
164,0.07689698370779455
165,0.0736481400199089
166,0.07031414528452659
167,0.06670479516250609
168,0.06287815337900282
169,0.058877007785119895
170,0.0546087413033584
171,0.050074416416332326
172,0.04532418063942243
173,0.040348820706212034
174,0.03540043835636226
175,0.030978629709679517
176,0.025386414097364016
177,0.020293733015730737
178,0.01572951682627511
179,0.011796626998610248
