Sample_no,ICP,Second_Derivative
0,0.0023200289013514,0.0007039122347712009
1,0.0030934957770599,0.0009386325181258001
2,0.0046882350292169,0.0012821231157988996
3,0.0075736872245316,0.0014172536010266749
4,0.012184933620278,0.0015386421830843005
5,0.01772289307611,0.002274987213029575
6,0.0258362009436763,0.0028292760337764998
7,0.0369720477798067,0.0026164897570789764
8,0.0508045724021806,0.0021056715161177995
9,0.0666871615118193,0.001627975743606274
10,0.0841956299251561,0.0011396085193869261
11,0.102914178218257,0.0005122047414216971
12,0.1221451215256793,-0.00011332237047860169
13,0.1411900138903815,-0.0005570666655866953
14,0.1596413236442881,-0.0008411355269545978
15,0.1772375829001592,-0.000994109626480326
16,0.1937729836550785,-0.0009261252044916526
17,0.2093087134040156,-0.0006395982314308796
18,0.2242001428479023,-0.0002908475433040236
19,0.2388214509821485,3.25187756226239e-05
20,0.25346391186751,0.0003597883684062497
21,0.2684642636627719,0.0006611928877214637
22,0.2841668343607427,0.0008460557404348229
23,0.3007518478942811,0.0009061747221849187
24,0.3182539798157147,0.0008816051775774603
25,0.33666413101453,0.0007544106117655935
26,0.3558675459809965,0.000520054875614212
27,0.3755940565818413,0.00026480427296302067
28,0.3955613316487352,6.176544683587915e-05
29,0.4155831992410047,-0.00010192529418591445
30,0.4355021791038174,-0.00023470426517674392
31,0.4551646407234244,-0.0003029629608968798
32,0.4745042094981926,-0.00030823172086447137
33,0.4935342303622566,-0.00028020350748049483
34,0.5122733130091099,-0.00020991490187441397
35,0.5307830059711668,-0.00010155275097602223
36,0.5492027569125296,-2.6585020032610096e-05
37,0.5676255705761729,-1.698424376148089e-05
38,0.5860258607358189,3.4465431608676766e-07
39,0.6044001982061331,6.690178674484404e-05
40,0.6228503431763724,0.00011236629448280189
41,0.6414424329830727,8.950425154505282e-05
42,0.6601242907948572,4.885492919956547e-05
43,0.6788426847661925,2.079194574416965e-05
44,0.6975936581301403,-2.7966974648740983e-05
45,0.7163261043322889,-8.963124064043093e-05
46,0.7349511575668284,-0.00012019399095336558
47,0.7534509989358237,-0.0001500156876366454
48,0.771827881039703,-0.0002389886678372255
49,0.7899758307888118,-0.00035210749751904413
50,0.8077486498412287,-0.00042501753569820777
51,0.8250922326517238,-0.0004909993532533352
52,0.8419693484999616,-0.0006010916996226356
53,0.8582446371016225,-0.0007024817627690749
54,0.873785680360204,-0.0007298342326921836
55,0.8885871145004448,-0.0007238452779219917
56,0.9026826752896776,-0.000749271676470098
57,0.9160342107875792,-0.0007979962310256938
58,0.9285825835132708,-0.0008513857962704208
59,0.9402893221506108,-0.0009240989120062881
60,0.9510769485517824,-0.0009995814733233799
61,0.9608480378656172,-0.0010464644223057151
62,0.9695729876970004,-0.0011142098420788005
63,0.9772208958914008,-0.0012793304915443005
64,0.9836121874739032,-0.0015052514157114227
65,0.9884764319510072,-0.0016867433666944986
66,0.9916303815879604,-0.0017985397505330125
67,0.9929849945438356,-0.0018720885972063894
68,0.9924544166998854,-0.0018833888668674248
69,0.9900052027478384,-0.0017908409389475188
70,0.9857448963443408,-0.0016191621159217517
71,0.9798620471960512,-0.0013979054516068956
72,0.9725587275251092,-0.0010938340753262332
73,0.9641272698378364,-0.0006926186584506888
74,0.9549972224045726,-0.0002629611234853668
75,0.9456220178458188,0.0001253117050002972
76,0.9363838727900946,0.000456039404441666
77,0.9276180126738024,0.0007006072813501019
78,0.9195946807933832,0.000799512090559118
79,0.9124164366271864,0.0007427804544306582
80,0.9060035371589084,0.0005833951174041285
81,0.9001859823982931,0.0003644431987042951
82,0.89474597399405,0.00010893123015923156
83,0.8894133009642169,-0.00013899848366819012
84,0.8839241357498285,-0.0003400897767985023
85,0.878084625595468,-0.0004998274197320629
86,0.8717419383984131,-0.0006226495315010128
87,0.8647566405477908,-0.0006678004350261502
88,0.8570691429209936,-0.0005995113942343921
89,0.848757453760009,-0.00043891770719428624
90,0.8399983018666365,-0.00023989120330603075
91,0.8310025961434501,-5.8993961958520025e-05
92,0.8219678959990553,4.981623835925708e-05
93,0.8130117626790571,6.857243641211763e-05
94,0.8041367550849111,3.846762409137616e-05
95,0.7952952189603125,4.367533130600343e-06
96,0.7864594846671324,-3.791747920506294e-05
97,0.7775961453740904,-0.00010393182995355188
98,0.7686305443325335,-0.0001814485855407555
99,0.759481344468054,-0.0002630058568567628
100,0.7500758096557716,-0.0003530406747534187
101,0.7403145201345906,-0.0004162319886640009
102,0.730108912279996,-0.0003965104859855184
103,0.7194827678464712,-0.00030943947377393144
104,0.7085559729602783,-0.00023306464549024963
105,0.6974132576632561,-0.00019333866061471694
106,0.6860707750585996,-0.00014346730006919994
107,0.6745703928375821,-6.166714010663599e-05
108,0.6630117079566441,1.627322692399069e-05
109,0.6514808594514816,6.336503686926731e-05
110,0.6400177337623846,8.647937286562768e-05
111,0.6286447862128581,9.421426021605228e-05
112,0.6173696770595876,9.960675134010333e-05
113,0.6061855700150989,0.00012912477707427428
114,0.595120047362151,0.00017697123922355562
115,0.5842428529256367,0.0001904233084216722
