Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Std_XY_Error,TP,FP,FN,%_Files_With_Peak,Peak_Count
Class1,P1,0.028112449799196786,3.266167204000027e-05,0.028112479174972442,0.16529427414605197,249,0,1,0.996,249
Class1,P2,1.8915094339622642,0.011606114441995288,1.8915572467854045,2.6445384311503792,190,22,60,0.848,212
Class1,P3,2.023696682464455,0.004897590063368609,2.023713173284407,3.2268257241606344,187,24,63,0.844,211
Class2,P1,0.5982532751091703,0.001335724780986307,0.5982557945640299,1.7695310362594836,224,5,26,0.916,229
Class2,P2,2.7430167597765363,0.005932374413770921,2.7430270028834367,5.832019278093996,151,28,99,0.716,179
Class2,P3,5.973958333333333,0.03868287950286681,5.9741235637972165,10.429466386408254,129,63,121,0.768,192
Class3,P1,2.0725806451612905,0.0228231349057165,2.072725051592182,1.5589755494764457,205,43,45,0.992,248
Class3,P2,1.5982142857142858,0.0050478727646159054,1.5982302609495531,5.163394263286826,205,19,45,0.896,224
Class3,P3,3.0572916666666665,0.017214582188878655,3.0573521017478433,6.310065284737482,159,33,91,0.768,192
Class4,P2,0.7441860465116279,0.0013377413637135239,0.7441878334159213,2.1684144970097976,38,5,12,0.86,43
