Class Peak Mean_XY_Error Min_XY_Error TP FP FN Peak_Count %_Signals_with_Peak Config
Class1 P1 0.2016668574 0.2000002119 300.0 0.0 0.0 1.0033333333333334 1.0 it1_avg_concave,it1_avg_concave_d2x=0-002
Class1 P1 0.2023413285 0.2006691089 299.0 0.0 1.0 1.0 0.9966666666666667 it1_full_concave,it1_full_concave_d2x=0-002
Class1 P1 0.2048612877 0.2048612877 288.0 0.0 12.0 0.96 0.96 it1_avg_concave_tuned,it1_full_concave_tuned,it1_none_concave_tuned
Class1 P1 0.2099645938 0.2099645938 281.0 0.0 19.0 0.9366666666666666 0.9366666666666666 it1_whiskers_concave,it1_whiskers_concave_d2x=0-002,it1_whiskers_concave_tuned
Class1 P1 1.0383464786 0.953344781 295.0 8.0 5.0 1.17 1.0 it1_smooth_3Hz_avg_wavelet
Class1 P1 1.203359827 1.203359827 292.0 8.0 8.0 1.0 1.0 it1_smooth_3Hz_avg_line_distance_3
Class1 P1 1.3333539907 1.3333539907 290.0 10.0 10.0 1.0 1.0 it1_smooth_3Hz_avg_hilbert
Class1 P1 1.3879991748 1.3879991748 296.0 3.0 4.0 0.9966666666666667 0.9966666666666667 it1_smooth_4Hz_avg_concave,it1_smooth_4Hz_avg_concave_d2x=0-002
Class1 P1 1.5066917392 1.5066917392 284.0 16.0 16.0 1.0 1.0 it1_smooth_3Hz_avg_curvature
Class1 P1 1.7050376657 1.5833650285 280.0 27.0 20.0 1.1933333333333334 1.0 it1_smooth_4Hz_avg_wavelet
Class1 P2 3.0241848594 3.0241848594 253.0 37.0 47.0 0.9666666666666667 0.9666666666666667 it1_smooth_4Hz_avg_line_distance_3
Class1 P2 3.2121273681 3.1793686992 242.0 49.0 58.0 0.97 0.9666666666666667 it1_smooth_4Hz_avg_curvature
Class1 P2 3.6738291266 3.6099974946 227.0 68.0 73.0 1.06 0.94 it1_smooth_4Hz_avg_wavelet
Class1 P2 4.0656167925 3.98975286 212.0 95.0 88.0 1.08 0.9666666666666667 it1_avg_wavelet
Class1 P2 4.1259427585 3.6089246827 238.0 102.0 62.0 1.1333333333333333 0.98 it1_avg_line_distance_3
Class1 P2 4.773615856 2.5797571023 245.0 72.0 55.0 1.0566666666666666 0.92 it1_smooth_4Hz_whiskers_line_distance_3
Class1 P2 5.3400735317 3.4116677492 227.0 293.0 73.0 1.9266666666666667 0.98 it1_avg_curvature
Class1 P2 5.8101177886 2.8387697154 236.0 101.0 64.0 1.1233333333333333 0.93 it1_smooth_4Hz_whiskers_curvature
Class1 P2 6.1041790174 3.6210120999 221.0 124.0 79.0 1.2266666666666666 0.9233333333333333 it1_smooth_4Hz_whiskers_wavelet
