Method,Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak,Detection_Rate
concave_default,Class1,P1,44.30214917027417,0.4463780098253076,44.30640969244062,0.2000002119000199,4.703333333333333,300,300.0,1.0
concave_default,Class1,P2,42.09150907888408,0.3166498444821073,42.0930445064818,10.74389859846816,4.703333333333333,300,300.0,1.0
concave_default,Class1,P3,49.130561387686384,0.2825610748908627,49.131511870548785,1.0600063033161142,4.703333333333333,300,300.0,1.0
concave_default,Class2,P1,32.53704401154401,0.28558545889663994,32.540445505526556,1.9834194295886076,4.166666666666667,300,300.0,1.0
concave_default,Class2,P2,30.777040404040406,0.2950269342293497,30.779117091447304,1.4000029726618557,4.166666666666667,300,300.0,1.0
concave_default,Class2,P3,45.23693891293891,0.28301398287065976,45.23810157394496,6.450237618340467,4.166666666666667,300,300.0,1.0
concave_default,Class3,P1,36.627089808339804,0.3576960358133645,36.629958534045365,11.922692210541936,3.64,300,300.0,1.0
concave_default,Class3,P2,28.34518632293632,0.32224981724432344,28.347530970890094,0.6266710521166546,3.64,300,300.0,1.0
concave_default,Class3,P3,37.021960215710216,0.3035554810683507,37.023455479479765,2.9233976431730193,3.64,300,300.0,1.0
concave_default,Class4,P1,,,,,1.96,100,100.0,1.0
concave_default,Class4,P2,19.893,0.2970956441363156,19.89539856881938,0.0800000785352498,1.96,100,100.0,1.0
concave_default,Class4,P3,,,,,1.96,100,100.0,1.0
concave_tuned,Class1,P1,0.2048611111111111,0.0002025932102532482,0.20486128769959505,0.20486128769959505,0.96,300,288.0,0.96
concave_tuned,Class1,P2,13.716666666666667,0.057807179708574866,13.71686035669196,11.144632111889164,0.43,300,90.0,0.3
concave_tuned,Class1,P3,13.885994800218938,0.05468223832250364,13.88615642962916,1.2379361935633089,2.04,300,290.0,0.9666666666666667
concave_tuned,Class2,P1,17.521272727272727,0.018295471804913546,17.521288615501263,7.861829114524418,1.51,300,275.0,0.9166666666666666
concave_tuned,Class2,P2,13.616722222222222,0.020794939376385754,13.61674702391409,2.73001025502989,2.1766666666666667,300,300.0,1.0
concave_tuned,Class2,P3,23.256007751937986,0.122189403759666,23.256487445047494,15.7212828818042,0.92,300,172.0,0.5733333333333334
concave_tuned,Class3,P1,49.66137566137566,0.2144515123737196,49.662074709150154,45.57215675001536,0.2733333333333333,300,63.0,0.21
concave_tuned,Class3,P2,6.184057971014493,0.014876120490264353,6.18409043712163,3.1003651002265733,1.3266666666666667,300,299.0,0.9966666666666667
concave_tuned,Class3,P3,11.61298377028714,0.03136420536607979,11.613047689516357,7.471949381152285,1.1766666666666667,300,267.0,0.89
concave_tuned,Class4,P1,,,,,1.96,100,100.0,1.0
concave_tuned,Class4,P2,0.3076923076923077,0.0001740533903492749,0.30769237827448,0.30769237827448,0.91,100,91.0,0.91
concave_tuned,Class4,P3,,,,,1.96,100,100.0,1.0
