Method,Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak,Detection_Rate
concave_default,Class1,P1,0.20234113712374582,0.0002041917265273535,0.20234132853148745,0.20066910892978584,1.0,300,299.0,0.9966666666666667
concave_default,Class1,P2,19.263918067226893,0.07471177360987954,19.264131498335654,11.143522390606847,1.6,300,272.0,0.9066666666666666
concave_default,Class1,P3,6.901992143658811,0.025570131799669715,6.902067794791849,0.8619540915420236,1.5766666666666667,300,297.0,0.99
concave_default,Class2,P1,5.477699530516432,0.00960192708104148,5.477713598907649,0.8838052153341351,1.4066666666666667,300,284.0,0.9466666666666667
concave_default,Class2,P2,7.168243243243244,0.016483039782674166,7.168276482450265,1.364867666451428,1.5766666666666667,300,296.0,0.9866666666666667
concave_default,Class2,P3,7.985705596107056,0.052548230475189854,7.985929451371403,4.011065653898019,1.27,300,274.0,0.9133333333333333
concave_default,Class3,P1,0.7819706498951782,0.0016893870828568079,0.7819745847283753,0.6478004590784308,0.5533333333333333,300,159.0,0.53
concave_default,Class3,P2,5.16,0.014791089775529164,5.160035133821968,0.6266710521166546,1.5133333333333334,300,300.0,1.0
concave_default,Class3,P3,10.915151515151516,0.04722119932864942,10.91529821723011,2.750898548392118,1.81,300,297.0,0.99
concave_default,Class4,P1,,,,,0.0,100,0.0,0.0
concave_default,Class4,P2,0.3962962962962963,0.000568892934509962,0.39629685913850426,0.08080816013661596,1.08,100,99.0,0.99
concave_default,Class4,P3,,,,,0.0,100,0.0,0.0
concave_tuned,Class1,P1,0.2048611111111111,0.0002025932102532482,0.20486128769959505,0.20486128769959505,0.96,300,288.0,0.96
concave_tuned,Class1,P2,12.45593869731801,0.053635886893043494,12.456118097161792,10.367980953545707,0.39,300,87.0,0.29
concave_tuned,Class1,P3,6.864310515873016,0.02423455389497931,6.864378418114127,1.0034737657250197,1.5233333333333334,300,288.0,0.96
concave_tuned,Class2,P1,5.659219858156029,0.008290281045765582,5.65923014335743,4.165964575997262,0.9266666666666666,300,235.0,0.7833333333333333
concave_tuned,Class2,P2,6.29486301369863,0.011350377240898237,6.294879378779446,2.3493260602704704,1.3833333333333333,300,292.0,0.9733333333333334
concave_tuned,Class2,P3,6.314102564102565,0.03834178946919594,6.31428907727882,5.277080338398035,0.52,300,130.0,0.43333333333333335
concave_tuned,Class3,P1,2.875,0.005506108697688878,2.8750066158257206,2.7500065147540855,0.056666666666666664,300,16.0,0.05333333333333334
concave_tuned,Class3,P2,4.624004550625711,0.012006821182175944,4.624032189143802,2.6075348990818803,1.2,300,293.0,0.9766666666666667
concave_tuned,Class3,P3,5.802669552669553,0.012790127751011397,5.802699182539239,5.233789996414826,0.8733333333333333,300,231.0,0.77
concave_tuned,Class4,P1,,,,,0.0,100,0.0,0.0
concave_tuned,Class4,P2,0.0,0.0,0.0,0.0,0.88,100,88.0,0.88
concave_tuned,Class4,P3,,,,,0.0,100,0.0,0.0
