Class,Peak,idx_lower,idx_upper,h_lower,h_upper,prom_lower,prom_upper
Class1,P1,16.0,48.0,0.9375206406918679,1.0065663857572809,0.8159363893262177,1.0250239800104994
Class1,P2,33.5,85.5,0.47400822267708614,0.964486459556317,-0.005810860682099017,0.009684767803498362
Class1,P3,55.5,131.5,0.21870535010379072,1.0168844881076327,-0.17549463465262666,0.2924910577543778
Class2,P1,16.0,48.0,0.8417864781429187,1.0599027239298497,-0.2547111673431953,0.42451861223865883
Class2,P2,34.0,82.0,0.8980090784310001,1.0459867191085803,-1.3770190995386065,2.2950318325643444
Class2,P3,55.625,120.625,0.30309870309353,1.2826212724852342,-0.018058853158810687,0.03009808859801781
Class3,P1,16.5,36.5,0.24171689625516402,0.9727219343681156,-0.0013322388331714063,0.0022203980552856772
Class3,P2,37.0,77.0,0.9441596833778891,1.0158046584678948,-1.4286233917926527,2.381038986321088
Class3,P3,51.625,108.625,0.6965201199548774,1.152284730960888,-0.08828614138615755,0.14714356897692926
Class4,P2,49.0,73.0,0.9847620129910797,1.002014603393274,0.9587177278927872,0.9920770137198891
