Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Percent_Signals_with_Peak
Class1,P1,concave,0.20234113712374582,0.0002041917265273535,0.20234132853148745,0.20066910892978584,299.0,0.0,1,1.0,0.9966666666666667
Class1,P1,concave_d2x=-0-002,0.20202020202020202,0.0002134316025411309,0.20202041606062615,0.20202041606062615,297.0,0.0,3,0.99,0.99
Class1,P1,concave_d2x=0-002,0.20234113712374582,0.0002041917265273535,0.20234132853148745,0.20066910892978584,299.0,0.0,1,1.0,0.9966666666666667
Class1,P1,concave_tuned,0.2048611111111111,0.0002025932102532482,0.20486128769959505,0.20486128769959505,288.0,0.0,12,0.96,0.96
Class1,P2,concave,19.076543209876544,0.07214996781274408,19.07674360786489,11.092725715986687,175.0,273.0,125,1.4966666666666666,0.9
Class1,P2,concave_d2x=-0-002,10.79245283018868,0.04331559046609885,10.792582997105914,7.509537417174995,83.0,46.0,217,0.43,0.35333333333333333
Class1,P2,concave_d2x=0-002,19.25748424369748,0.07482526794615449,19.257698584431292,11.143522390606847,175.0,307.0,125,1.6133333333333333,0.9066666666666666
Class1,P2,concave_tuned,12.10337552742616,0.04758143081238565,12.103521817165355,10.177337503811927,46.0,51.0,254,0.3233333333333333,0.2633333333333333
Class1,P3,concave,6.693130630630631,0.0243907328349743,6.693201459668236,0.8851364320081553,282.0,154.0,18,1.4733333333333334,0.9866666666666667
Class1,P3,concave_d2x=-0-002,12.848888888888888,0.04160058075075125,12.849002472404704,9.61340488771889,52.0,40.0,248,0.30666666666666664,0.25
Class1,P3,concave_d2x=0-002,6.940432098765433,0.02570852856136212,6.940507997243635,0.8619540915420236,284.0,185.0,16,1.59,0.99
Class1,P4,concave_tuned,,,,,0.0,0.0,300,0.0,0.0
Class2,P1,concave,5.386737089201878,0.009138515323655083,5.3867498943858045,0.9260587769628408,273.0,136.0,27,1.3666666666666667,0.9466666666666667
