Class,Dataset,Num_Signals,Signals_with_6_crossings,%_Signals_with_6_crossings,Signals_with_6_crossings_and_ideal_P1P3,%_Signals_with_6_crossings_and_ideal_P1P3,min_distance
Class1,it1,300,300,100.0,160,53.333333333333336,5
Class1,it1_smooth_3Hz,300,297,99.0,167,55.666666666666664,5
Class1,it1_smooth_4Hz,300,300,100.0,262,87.33333333333333,5
Class2,it1,300,300,100.0,218,72.66666666666667,5
Class2,it1_smooth_3Hz,300,284,94.66666666666667,98,32.666666666666664,5
Class2,it1_smooth_4Hz,300,300,100.0,218,72.66666666666667,5
Class3,it1,300,300,100.0,198,66.0,5
Class3,it1_smooth_3Hz,300,274,91.33333333333333,141,47.0,5
Class3,it1_smooth_4Hz,300,300,100.0,250,83.33333333333333,5
Class4,it1,100,97,97.0,0,0.0,5
Class4,it1_smooth_3Hz,100,18,18.0,0,0.0,5
Class4,it1_smooth_4Hz,100,47,47.0,0,0.0,5
