Class Peak Mean_XY_Error Min_XY_Error Peak_Count Num_Signals_in_Class Num_Signals_with_Peak Config
Class2 P3 16.6684045307 1.8900567483 5.83 300.0 300.0 it1_whiskers_curvature
Class2 P3 19.2873617447 3.0566881187 2.18 300.0 300.0 it1_smooth_4Hz_pm3_curvature
Class2 P3 43.6311914091 3.0566881187 5.04 300.0 300.0 it1_smooth_4Hz_none_curvature
Class2 P3 46.0519445935 3.0800452286 7.036666666666667 300.0 300.0 it1_none_wavelet
Class2 P3 21.2700217211 3.1166999988 3.08 300.0 300.0 it1_pm3_wavelet
Class2 P3 16.6533849192 3.1533793112 1.9066666666666667 300.0 300.0 it1_smooth_4Hz_full_curvature
Class2 P3 18.9447057424 3.4333970462 2.75 300.0 300.0 it1_full_wavelet
Class3 P1 1.3169454262 1.2101616599 1.1266666666666667 300.0 281.0 it1_smooth_3Hz_avg_wavelet
Class3 P1 1.375678953 1.2244029129 1.143333333333333 300.0 281.0 it1_smooth_3Hz_whiskers_wavelet
Class3 P1 1.3765583999 1.2263514483 1.15 300.0 283.0 it1_smooth_3Hz_full_wavelet
Class3 P1 1.5229953817 1.3708673966 1.1666666666666667 300.0 286.0 it1_smooth_3Hz_pm3_wavelet
Class3 P1 1.6887761284 1.596163871 1.1733333333333331 300.0 297.0 it1_smooth_4Hz_avg_wavelet
Class3 P1 1.7066039694 1.6143026606 1.1766666666666667 300.0 298.0 it1_smooth_4Hz_whiskers_wavelet
Class3 P1 1.707585926 1.6155933172 1.18 300.0 299.0 it1_smooth_4Hz_full_wavelet
Class3 P1 1.8485900973 1.6168761719 1.2033333333333334 300.0 300.0 it1_smooth_4Hz_pm3_wavelet
Class3 P1 66.2637590337 1.6168761719 6.316666666666666 300.0 300.0 it1_smooth_4Hz_none_wavelet
Class3 P1 1.7145900033 1.7145900033 0.98 300.0 294.0 it1_smooth_3Hz_avg_curvature
Class3 P2 5.1600351338 0.6266710521 1.5133333333333334 300.0 300.0 it1_full_concave
Class3 P2 5.1911467518 0.6266710521 1.5266666666666666 300.0 300.0 it1_full_concave_d2x=0-002
Class3 P2 6.8633825608 0.6266710521 1.6933333333333334 300.0 300.0 it1_pm3_concave_d2x=0-002
Class3 P2 6.8644932685 0.6266710521 1.68 300.0 300.0 it1_pm3_concave
Class3 P2 28.3475309709 0.6266710521 3.64 300.0 300.0 it1_none_concave
Class3 P2 28.658023342 0.6266710521 3.716666666666667 300.0 300.0 it1_none_concave_d2x=0-002
Class3 P2 10.0212928746 1.1200084227 4.093333333333334 300.0 300.0 it1_pm3_curvature
Class3 P2 56.8735692424 1.1200084227 17.486666666666668 300.0 300.0 it1_none_curvature
Class3 P2 8.414933456 1.233345688 3.59 300.0 300.0 it1_full_curvature
Class3 P2 7.5400615848 1.3866791832 1.8633333333333333 300.0 300.0 it1_pm3_wavelet
Class3 P3 15.2403085934 0.9366712793 6.126666666666667 300.0 300.0 it1_pm3_curvature
Class3 P3 47.3387967789 0.9366712793 17.486666666666668 300.0 300.0 it1_none_curvature
Class3 P3 13.7012037898 1.026673033 5.37 300.0 300.0 it1_full_curvature
Class3 P3 13.218634763 1.1033461966 5.083333333333333 300.0 300.0 it1_whiskers_curvature
Class3 P3 10.4024980711 1.5457839584 1.8533333333333333 300.0 295.0 it1_full_hilbert
Class3 P3 10.4191653469 1.633924463 1.8433333333333333 300.0 295.0 it1_whiskers_hilbert
Class3 P3 11.6669216675 1.7033627453 1.9833333333333332 300.0 300.0 it1_pm3_hilbert
Class3 P3 27.1274052429 1.7033627453 3.19 300.0 300.0 it1_none_hilbert
Class3 P3 45.5697856728 2.0500226781 7.416666666666667 300.0 300.0 it1_none_wavelet
Class3 P3 14.0142266577 2.1666918069 2.62 300.0 300.0 it1_pm3_wavelet
Class4 P1   0.99 100.0 98.0 it1_smooth_3Hz_none_concave,it1_smooth_3Hz_none_concave_d2x=0-002
Class4 P1   1.02 100.0 99.0 it1_smooth_4Hz_none_concave,it1_smooth_4Hz_none_concave_d2x=0-002
Class4 P1   1.04 100.0 100.0 it1_smooth_4Hz_none_hilbert
Class4 P1   1.15 100.0 100.0 it1_smooth_3Hz_none_hilbert
Class4 P1   1.38 100.0 100.0 it1_none_hilbert
Class4 P1   1.96 100.0 99.0 it1_smooth_3Hz_none_line_distance_10,it1_smooth_3Hz_none_line_perpendicular_10
Class4 P1   1.96 100.0 100.0 it1_none_concave
Class4 P1   1.99 100.0 98.0 it1_smooth_3Hz_none_modified_scholkmann_1-2_99,it1_smooth_3Hz_none_modified_scholkmann_1_99
Class4 P1   2.02 100.0 99.0 it1_smooth_4Hz_none_modified_scholkmann_1-2_99,it1_smooth_4Hz_none_modified_scholkmann_1_99
Class4 P1   2.03 100.0 100.0 it1_none_concave_d2x=0-002
Class4 P2 0.5356688211 0.0800000785 1.16 100.0 100.0 it1_pm3_concave_d2x=0-002
Class4 P2 0.5523354372 0.0800000785 1.14 100.0 100.0 it1_pm3_concave
Class4 P2 19.8953985688 0.0800000785 1.96 100.0 100.0 it1_none_concave
Class4 P2 21.1388510002 0.0800000785 2.03 100.0 100.0 it1_none_concave_d2x=0-002
Class4 P2 0.3905729462 0.0808081601 1.09 100.0 99.0 it1_full_concave_d2x=0-002
Class4 P2 0.3962968591 0.0808081601 1.08 100.0 99.0 it1_full_concave
Class4 P2 0.3406595839 0.2417584742 0.93 100.0 91.0 it1_whiskers_concave,it1_whiskers_concave_d2x=0-002
Class4 P2 3.3118297736 0.2600004366 9.3 100.0 100.0 it1_smooth_4Hz_pm3_modified_scholkmann_1-2_95,it1_smooth_4Hz_pm3_modified_scholkmann_1_95
Class4 P2 3.4841433268 0.2600004366 9.54 100.0 100.0 it1_smooth_4Hz_none_modified_scholkmann_1-2_95,it1_smooth_4Hz_none_modified_scholkmann_1_95
Class4 P2 2.8770204584 0.2959188417 8.02 100.0 98.0 it1_smooth_4Hz_full_modified_scholkmann_1-2_95,it1_smooth_4Hz_full_modified_scholkmann_1_95
Class4 P3   0.99 100.0 98.0 it1_smooth_3Hz_none_concave,it1_smooth_3Hz_none_concave_d2x=0-002
Class4 P3   1.02 100.0 99.0 it1_smooth_4Hz_none_concave,it1_smooth_4Hz_none_concave_d2x=0-002
Class4 P3   1.04 100.0 100.0 it1_smooth_4Hz_none_hilbert
Class4 P3   1.15 100.0 100.0 it1_smooth_3Hz_none_hilbert
Class4 P3   1.38 100.0 100.0 it1_none_hilbert
Class4 P3   1.88 100.0 93.0 it1_avg_curvature
Class4 P3   1.96 100.0 99.0 it1_smooth_3Hz_none_line_distance_10,it1_smooth_3Hz_none_line_perpendicular_10
Class4 P3   1.96 100.0 100.0 it1_none_concave
Class4 P3   1.99 100.0 98.0 it1_smooth_3Hz_none_modified_scholkmann_1-2_99,it1_smooth_3Hz_none_modified_scholkmann_1_99
Class4 P3   2.02 100.0 99.0 it1_smooth_4Hz_none_modified_scholkmann_1-2_99,it1_smooth_4Hz_none_modified_scholkmann_1_99
