Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Std_XY_Error,TP,FP,FN,%_Files_With_Peak,Peak_Count
Class1,P1,0.028,3.2531025351840274e-05,0.028000029258272552,0.16497289740489493,250,0,0,1.0,250
Class1,P2,2.0071942446043165,0.004763663368171303,2.007207023621069,4.677413517731616,122,17,128,0.556,139
Class1,P3,7.71875,0.04489329570935716,7.718916620813995,14.981225751126352,169,55,81,0.896,224
Class2,P1,0.6724890829694323,0.0016203722531379714,0.6724921481439918,2.073386525195467,223,6,27,0.916,229
Class2,P2,3.3273809523809526,0.009876821691585637,3.3274061606451593,6.456404971371254,135,33,115,0.672,168
Class2,P3,6.47239263803681,0.0432260076060022,6.472579300858292,11.032093426670583,108,55,142,0.652,163
Class3,P1,3.900990099009901,0.054528569905841026,3.9014041586710158,3.626420196323982,99,103,151,0.808,202
Class3,P2,1.7466666666666666,0.0065551573646598854,1.7466900922827024,5.610631034362945,205,20,45,0.9,225
Class3,P3,3.238341968911917,0.01890820749488008,3.23841016227571,6.775305652045936,159,34,91,0.772,193
Class4,P2,0.7441860465116279,0.001278880795210709,0.7441873576630722,2.323724438715866,38,5,12,0.86,43
