class,peak,n_pairs,median_new,q1_new,q3_new,median_simpl,q1_simpl,q3_simpl,median_diff,wilcoxon_stat,p_value
Class1,P1,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Class1,P2,151,1.000027568419341,1.000000972351718,3.0000020807951486,1.0000003148385315,0.0,2.0000020791707254,0.9999993268416789,3064.0,1.7675372180067419e-06
Class1,P3,221,1.0000000141032612,0.0,1.000001161922191,1.0000000141032612,0.0,1.000001161922191,0.0,0.0,
Class2,P1,233,0.0,0.0,1.0000001427698417,0.0,0.0,1.0000001427698417,0.0,0.0,
Class2,P2,205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Class2,P3,199,2.0000033220823252,1.000000635469446,5.0000007853020385,2.0000033220823252,1.000000635469446,5.0000007853020385,0.0,0.0,
Class3,P1,96,2.0002015818586107,2.000017864320447,4.00011676594515,1.0000012746999896,1.0000000256085224,3.000005107942674,1.0000254172254919,1466.0,0.0016945236807370035
Class3,P2,239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Class3,P3,182,1.000007339128493,0.2500000008857068,2.0000115648094843,1.000007339128493,0.2500000008857068,2.0000115648094843,0.0,0.0,
Class4,P2,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
