Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Std_XY_Error,%_Files_With_Peak,Peak_Count
Class1,P1,0.05,0.0001252428101158695,0.05000030007951369,0.2941112191653755,1.0,254
Class1,P2,3.75,0.01604673596438049,3.750055944095444,7.673218606593944,0.928,232
Class1,P3,5.008658008658009,0.01451309351131573,5.008694173537873,7.451072159416193,0.924,271
Class2,P1,0.8326180257510729,0.001784129910782718,0.8326211597667992,2.3124880908589738,0.932,247
Class2,P2,3.9551339285714286,0.0090932481025552,3.955149565237818,6.177758574706637,0.896,327
Class2,P3,13.061278016213638,0.08807252218506491,13.061650172107042,11.636031559558912,0.932,527
Class3,P1,2.429384203480589,0.02709262583847329,2.4295540968310023,2.48890494578012,0.996,329
Class3,P2,1.8814814814814818,0.0067935402330339826,1.881505058970737,5.742771955791066,0.9,242
Class3,P3,14.113811541565779,0.0802705331664004,14.114133684996455,9.046603082788078,0.944,479
Class4,P2,0.9341085271317829,0.001572643874334738,0.9341102619615868,1.8009467695344616,0.86,62
