Class Peak Mean_XY_Error TP FP FN Config
Class1 P1 0,202 300 0 0 it1_avg_concave,it1_avg_concave_d2x=0-002
Class1 P1 0,202 299 0 1 it1_full_concave,it1_full_concave_d2x=0-002
Class1 P1 0,205 288 0 12 it1_avg_concave_tuned,it1_full_concave_tuned,it1_none_concave_tuned
Class1 P2 2,993 262 37 38 it1_smooth_4Hz_avg_line_distance_3
Class3 P2 1,827 254 24 46 it1_smooth_4Hz_avg_concave,it1_smooth_4Hz_avg_concave_d2x=0-002
Class3 P2 2,288 281 64 19 it1_avg_wavelet
Class3 P2 2,319 290 42 10 it1_avg_hilbert
Class3 P2 2,454 246 46 54 it1_smooth_4Hz_avg_hilbert
Class3 P2 2,648 248 84 52 it1_smooth_4Hz_avg_wavelet
Class3 P2 3,710 257 79 43 it1_whiskers_concave,it1_whiskers_concave_tuned
Class3 P2 3,724 257 80 43 it1_whiskers_concave_d2x=0-002
Class3 P3 1,280 257 17 43 it1_avg_hilbert
Class3 P3 7,797 268 469 32 it1_avg_curvature
Class3 P3 10,402 281 270 19 it1_full_hilbert
Class3 P3 10,419 280 268 20 it1_whiskers_hilbert
Class3 P3 10,919 264 278 36 it1_full_concave_d2x=0-002
Class3 P3 10,937 264 266 36 it1_full_concave
Class3 P3 10,952 263 276 37 it1_whiskers_concave_d2x=0-002
Class3 P3 10,970 263 264 37 it1_whiskers_concave
Class3 P3 11,786 250 383 50 it1_whiskers_wavelet
Class3 P3 12,499 251 410 49 it1_full_wavelet
Class4 P2 0,000 86 0 14 it1_whiskers_concave_tuned
Class4 P2 0,000 88 0 12 it1_full_concave_tuned
Class4 P2 0,308 89 2 11 it1_none_concave_tuned
Class4 P2 0,341 89 3 11 it1_whiskers_concave,it1_whiskers_concave_d2x=0-002
Class4 P2 0,391 98 10 2 it1_full_concave_d2x=0-002
Class4 P2 0,395 97 6 3 it1_full_concave
Class4 P2 0,903 90 3 10 it1_smooth_4Hz_full_concave,it1_smooth_4Hz_full_concave_d2x=0-002
Class4 P2 1,239 87 5 13 it1_smooth_3Hz_full_concave,it1_smooth_3Hz_full_concave_d2x=0-002
Class4 P2 1,294 82 3 18 it1_whiskers_modified_scholkmann0-5
Class4 P2 1,478 86 4 14 it1_full_modified_scholkmann0-5
