Class Peak Mean_XY_Error Min_XY_Error Peak_Count Num_Signals_in_Class Num_Signals_with_Peak Config
Class1 P1 1.1178852228422351 0.953425302429391 1.18 300.0 300.0 it2_smooth_3Hz_avg_wavelet_wavelet
Class1 P1 1.266489562461649 1.1804123951334071 0.9533333333333334 300.0 244.0 it2_smooth_3Hz_pm3_wavelet_wavelet
Class1 P1 1.5091132829895988 1.4415376388755852 0.42 300.0 111.0 it2_smooth_3Hz_full_wavelet_wavelet
Class1 P1 1.869677185808116 1.826193861695596 0.0833333333333333 300.0 23.0 it2_smooth_3Hz_whiskers_wavelet_wavelet
Class1 P1 2.602177785676974 2.500160901698529 1.204 250.0 250.0 it2_smooth_4Hz_avg_wavelet_wavelet
Class1 P1 2.6392408724442973 2.6261967596795524 0.472 250.0 115.0 it2_whiskers_wavelet_wavelet
Class1 P1 2.8385429392179886 2.81833825594523 0.412 250.0 99.0 it2_smooth_4Hz_whiskers_wavelet_wavelet
Class1 P1 2.915142560674602 2.835233123495261 0.9 250.0 194.0 it2_smooth_4Hz_full_wavelet_wavelet
Class1 P1 3.2040582007995178 3.126377866575877 0.924 250.0 206.0 it2_full_wavelet_wavelet
Class1 P1 3.860557337288169 3.74920106374712 1.16 250.0 247.0 it2_avg_wavelet_wavelet
Class1 P2 2.7061244306884995 2.648429356141507 0.808 250.0 182.0 it2_avg_wavelet_wavelet
Class1 P2 4.206216408648134 4.153582918519104 1.008 250.0 228.0 it2_smooth_4Hz_avg_wavelet_wavelet
Class1 P2 5.828705971450705 4.014223202210736 1.048 250.0 212.0 it2_smooth_4Hz_whiskers_wavelet_wavelet
Class1 P2 5.899573138829936 2.9817340210255554 1.22 250.0 218.0 it2_whiskers_wavelet_wavelet
Class1 P2 9.204827288647866 8.579087805252085 0.9033333333333332 300.0 228.0 it2_smooth_3Hz_whiskers_wavelet_wavelet
Class1 P2 13.621841074004072 13.467762461757005 1.0733333333333333 300.0 278.0 it2_smooth_3Hz_avg_wavelet_wavelet
Class1 P2 14.944158618959769 3.776513686957948 2.084 250.0 246.0 it2_full_wavelet_wavelet
Class1 P2 15.384183946929372 5.522546236179594 1.832 250.0 245.0 it2_smooth_4Hz_full_wavelet_wavelet
Class1 P2 18.265156940718683 2.538228138059853 2.424 250.0 249.0 it2_pm3_wavelet_wavelet
Class1 P2 18.309806574259976 4.791255529747983 2.144 250.0 249.0 it2_smooth_4Hz_pm3_wavelet_wavelet
Class1 P3 6.325107229874156 6.041357947365905 0.6 250.0 121.0 it2_avg_wavelet_wavelet
Class1 P3 7.676315337376499 7.032090616417433 1.188 250.0 219.0 it2_smooth_4Hz_avg_wavelet_wavelet
Class1 P3 14.584104249383474 4.424785948395527 1.93 300.0 299.0 it2_smooth_3Hz_whiskers_wavelet_wavelet
Class1 P3 16.473953568099144 4.824046072429117 2.228 250.0 250.0 it2_smooth_4Hz_whiskers_wavelet_wavelet
Class1 P3 16.704722723225824 4.080030469342463 2.103333333333333 300.0 300.0 it2_smooth_3Hz_full_wavelet_wavelet
Class1 P3 17.89154237102897 3.8320363722194735 2.884 250.0 250.0 it2_whiskers_wavelet_wavelet
Class1 P3 18.168360880581726 3.516678198361094 2.29 300.0 300.0 it2_smooth_3Hz_pm3_wavelet_wavelet
Class1 P3 19.15086033907236 4.0440341920332665 2.476 250.0 250.0 it2_smooth_4Hz_full_wavelet_wavelet
Class1 P3 20.259268747802523 3.7560255565942704 2.688 250.0 250.0 it2_smooth_4Hz_pm3_wavelet_wavelet
Class1 P3 20.47479732304168 3.208024983984519 3.26 250.0 250.0 it2_full_wavelet_wavelet
Class2 P1 2.4016093072746454 2.2634286828099683 0.9066666666666666 300.0 228.0 it2_smooth_3Hz_whiskers_wavelet_wavelet
