Class,Variable,Min,Q1,Median,Q3,Max,Lower_Whisker,Upper_Whisker
Class1,P1_Amp,0.9137755217457916,0.9634127950913978,0.9741056142794398,0.980674231357751,0.9946462568864248,0.9375206406918679,0.9946462568864248
Class1,P2_Amp,0.3650817357287385,0.6579375615067977,0.7181989504932633,0.7805571207266054,0.887486636166655,0.47400822267708614,0.887486636166655
Class1,P3_Amp,0.1766473613474854,0.5180225268552314,0.6178452054667387,0.7175673113561919,0.901900931583846,0.21870535010379072,0.901900931583846
Class2,P1_Amp,0.8277319241900297,0.9235800703130179,0.9551160065967602,0.9781091317597507,0.9974115983995372,0.8417864781429187,0.9974115983995372
Class2,P2_Amp,0.7614881173065994,0.9535006936850927,0.9817731028112371,0.9904951038544878,0.9979658172386898,0.8980090784310001,0.9979658172386898
Class2,P3_Amp,0.2901060878554625,0.6704196666154191,0.8048641131819992,0.9153003089633451,0.9966601640364864,0.30309870309353,0.9966601640364864
Class3,P1_Amp,0.2350696600366921,0.5158437855475209,0.5998855951014199,0.6985950450757588,0.8913437672580212,0.24171689625516402,0.8913437672580212
Class3,P2_Amp,0.781712567674929,0.9710265490366413,0.9840644828719348,0.9889377928091427,0.997572063276498,0.9441596833778891,0.997572063276498
Class3,P3_Amp,0.6659630869774178,0.8674318490821313,0.92273444545154,0.981373001833634,0.9976778079090948,0.6965201199548774,0.9976778079090948
Class4,P2_Amp,0.9553752287228632,0.9912317343919025,0.9929749334780319,0.9955448819924511,0.9980725416063916,0.9847620129910797,0.9980725416063916
