Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Std_XY_Error,TP,FP,FN,%_Files_With_Peak,Peak_Count
Class1,P1,0.028,3.2531025351840274e-05,0.028000029258272552,0.16497289740489493,250,0,0,1.0,250
Class1,P2,3.778225806451613,0.017338090341502476,3.77828969915914,7.638267806938656,207,41,43,0.992,248
Class1,P3,2.506787330316742,0.009800814870019037,2.506815676470882,8.492709745967518,193,28,57,0.884,221
Class2,P1,0.6609442060085837,0.0015925547037278776,0.6609472185621207,2.0573674610231567,227,6,23,0.932,233
Class2,P2,0.7788461538461539,0.0013387902668577666,0.7788483613760608,2.6401482498798146,193,15,57,0.832,208
Class2,P3,5.524752475247524,0.034965279283582104,5.524896838922729,9.884971106883725,136,66,114,0.808,202
Class3,P1,2.0642570281124497,0.02273147572938832,2.0644008545978356,1.5613547263681256,206,43,44,0.996,249
Class3,P2,0.9087136929460581,0.0016598861272846795,0.9087167774364397,3.8119791283066546,229,12,21,0.964,241
Class3,P3,1.8952879581151831,0.007531215487756274,1.8953079175227407,3.6852907559463226,167,24,83,0.764,191
Class4,P2,0.7441860465116279,0.0013377413637135239,0.7441878334159213,2.1684144970097976,38,5,12,0.86,43
