Class Peak Range Dataset Mean_XY_Error Min_XY_Error TP FP FN Peak_Count %_Signals_with_Peak Config
Class1 P1 avg it1 0.2016668574 0.2000002119 300.0 0.0 0.0 1.0033333333333334 1.0 it1_avg_concave,it1_avg_concave_d2x=0-002
Class1 P1 full it1 0.2023413285 0.2006691089 299.0 0.0 1.0 1.0 0.9966666666666667 it1_full_concave,it1_full_concave_d2x=0-002
Class1 P1 whiskers it1 0.2099645938 0.2099645938 281.0 0.0 19.0 0.9366666666666666 0.9366666666666666 it1_whiskers_concave,it1_whiskers_concave_d2x=0-002
Class1 P1 avg it1 0.3931302027 0.3931302027 262.0 0.0 38.0 0.8733333333333333 0.8733333333333333 it1_avg_modified_scholkmann0-5
Class1 P1 full it1 0.3931302027 0.3931302027 262.0 0.0 38.0 0.8733333333333333 0.8733333333333333 it1_full_modified_scholkmann0-5
Class1 P1 avg it1_smooth_3Hz 1.0383464786 0.953344781 295.0 8.0 5.0 1.17 1.0 it1_smooth_3Hz_avg_wavelet
Class1 P1 avg it1_smooth_3Hz 1.203359827 1.203359827 292.0 8.0 8.0 1.0 1.0 it1_smooth_3Hz_avg_line_distance_3
Class1 P1 full it1_smooth_4Hz 1.2687960657 1.2687960657 251.0 2.0 49.0 0.8433333333333334 0.8433333333333334 it1_smooth_4Hz_full_concave,it1_smooth_4Hz_full_concave_d2x=0-002
Class1 P1 avg it1_smooth_3Hz 1.3333539907 1.3333539907 290.0 10.0 10.0 1.0 1.0 it1_smooth_3Hz_avg_hilbert
Class1 P1 avg it1_smooth_4Hz 1.3879991748 1.3879991748 296.0 3.0 4.0 0.9966666666666667 0.9966666666666667 it1_smooth_4Hz_avg_concave,it1_smooth_4Hz_avg_concave_d2x=0-002
Class1 P2 avg it1_smooth_4Hz 2.9933598528 2.9933598528 262.0 37.0 38.0 0.9966666666666667 0.9966666666666667 it1_smooth_4Hz_avg_line_distance_3
Class1 P2 avg it1_smooth_4Hz 3.1789904183 3.1472177962 251.0 49.0 49.0 1.0 0.9966666666666667 it1_smooth_4Hz_avg_curvature
Class1 P2 whiskers it1 6.9772787447 1.7032334149 255.0 238.0 45.0 1.6433333333333333 0.9433333333333334 it1_whiskers_line_distance_3
Class1 P3 avg it1 1.0759821748 0.7720592462 263.0 34.0 37.0 1.0066666666666666 0.9066666666666666 it1_avg_concave
Class1 P3 avg it1 1.250311267 0.9233634323 264.0 40.0 36.0 1.0366666666666666 0.9133333333333333 it1_avg_concave_d2x=0-002
Class1 P3 avg it1_smooth_4Hz 1.2788130397 1.2788130397 255.0 14.0 45.0 0.8966666666666666 0.8966666666666666 it1_smooth_4Hz_avg_concave,it1_smooth_4Hz_avg_concave_d2x=0-002
Class1 P3 avg it1 2.5637759765 2.1032161895 251.0 75.0 49.0 1.11 0.9366666666666666 it1_avg_hilbert
Class1 P3 full it1_smooth_4Hz 4.7353315311 1.4117742574 273.0 72.0 27.0 1.15 0.9633333333333334 it1_smooth_4Hz_full_concave,it1_smooth_4Hz_full_concave_d2x=0-002
Class1 P3 whiskers it1_smooth_4Hz 4.7675203217 1.4091005592 270.0 72.0 30.0 1.14 0.9533333333333334 it1_smooth_4Hz_whiskers_concave,it1_smooth_4Hz_whiskers_concave_d2x=0-002
Class1 P3 whiskers it1 6.3234381595 0.8839603539 279.0 146.0 21.0 1.4366666666666668 0.9766666666666667 it1_whiskers_concave
Class1 P3 whiskers it1 6.5462823648 0.8605454592 281.0 174.0 19.0 1.5433333333333332 0.98 it1_whiskers_concave_d2x=0-002
Class1 P3 full it1 6.6932014597 0.885136432 282.0 154.0 18.0 1.4733333333333334 0.9866666666666667 it1_full_concave
Class1 P3 full it1 6.9405079972 0.8619540915 284.0 185.0 16.0 1.59 0.99 it1_full_concave_d2x=0-002
Class2 P1 avg it1 0.6494675616 0.5480434454 276.0 10.0 24.0 0.9566666666666667 0.9366666666666666 it1_avg_concave
Class2 P1 avg it1 0.6920817958 0.5602844267 276.0 15.0 24.0 0.9733333333333334 0.94 it1_avg_concave_d2x=0-002
Class2 P1 avg it1_smooth_3Hz 1.4600239498 1.4600239498 281.0 19.0 19.0 1.0 1.0 it1_smooth_3Hz_avg_hilbert
Class2 P1 avg it1_smooth_3Hz 1.8900453125 1.7767078506 263.0 51.0 37.0 1.23 1.0 it1_smooth_3Hz_avg_wavelet
Class2 P1 whiskers it1 2.0899331523 0.5863318239 272.0 50.0 28.0 1.0766666666666667 0.9266666666666666 it1_whiskers_concave
Class2 P1 whiskers it1 2.1448678301 0.5985671943 272.0 58.0 28.0 1.1033333333333333 0.93 it1_whiskers_concave_d2x=0-002
Class2 P2 avg it1 1.0871111067 0.9303166821 277.0 20.0 23.0 1.01 0.9566666666666667 it1_avg_concave
Class2 P2 avg it1 1.1124598632 0.9446397606 278.0 22.0 22.0 1.02 0.9633333333333334 it1_avg_concave_d2x=0-002
Class2 P2 avg it1 1.4558372086 1.2049536354 270.0 31.0 30.0 1.0233333333333334 0.9433333333333334 it1_avg_hilbert
Class2 P2 avg it1_smooth_4Hz 2.1733711388 2.1733711388 258.0 42.0 42.0 1.0 1.0 it1_smooth_4Hz_avg_line_distance_3
Class2 P2 avg it1 3.9277783988 1.963253936 254.0 326.0 46.0 2.1 0.9966666666666667 it1_avg_curvature
Class2 P2 whiskers it1 4.4878860377 1.8924809562 259.0 105.0 41.0 1.23 0.93 it1_whiskers_hilbert
Class2 P2 full it1_smooth_4Hz 5.4108057808 2.0942916866 256.0 110.0 44.0 1.22 0.99 it1_smooth_4Hz_full_line_distance_3
Class2 P2 whiskers it1 5.6380337591 2.1284805091 266.0 119.0 34.0 1.3033333333333332 0.96 it1_whiskers_concave
Class2 P2 whiskers it1 5.6616449402 2.0138968121 267.0 128.0 33.0 1.3366666666666667 0.96 it1_whiskers_concave_d2x=0-002
