Class Peak Range Dataset Mean_XY_Error Min_XY_Error TP FP FN Peak_Count %_Signals_with_Peak Config
Class2 P2 full it1 5.9107083209 1.4758706663 273.0 163.0 27.0 1.4733333333333334 0.9666666666666667 it1_full_hilbert
Class2 P3 full it1 7.5313437145 3.5785150796 258.0 161.0 42.0 1.43 0.9566666666666667 it1_full_hilbert
Class2 P3 avg it1 7.7104335431 2.568626586 272.0 622.0 28.0 3.1766666666666667 0.9966666666666667 it1_avg_curvature
Class2 P3 whiskers it1 7.7810621695 4.097697174 255.0 160.0 45.0 1.4166666666666667 0.9566666666666667 it1_whiskers_hilbert
Class3 P1 avg it1_smooth_3Hz 1.3697645182 1.2324347947 277.0 14.0 23.0 1.1533333333333333 0.9466666666666667 it1_smooth_3Hz_avg_wavelet
Class3 P1 whiskers it1_smooth_3Hz 1.3754920201 1.2242394127 274.0 14.0 26.0 1.1433333333333333 0.9366666666666666 it1_smooth_3Hz_whiskers_wavelet
Class3 P1 full it1_smooth_3Hz 1.3763722742 1.2261885898 276.0 14.0 24.0 1.15 0.9433333333333334 it1_smooth_3Hz_full_wavelet
Class3 P1 whiskers it1_smooth_4Hz 1.706455085 1.6141654349 288.0 15.0 12.0 1.1766666666666667 0.9933333333333333 it1_smooth_4Hz_whiskers_wavelet
Class3 P1 full it1_smooth_4Hz 1.7074369132 1.6154559241 289.0 15.0 11.0 1.18 0.9966666666666667 it1_smooth_4Hz_full_wavelet
Class3 P1 avg it1_smooth_4Hz 1.7100797093 1.616738279 290.0 15.0 10.0 1.1866666666666668 1.0 it1_smooth_4Hz_avg_wavelet
Class3 P1 full it1_smooth_3Hz 1.7153301529 1.7153301529 284.0 11.0 16.0 0.9833333333333333 0.9833333333333333 it1_smooth_3Hz_full_curvature
Class3 P1 whiskers it1_smooth_3Hz 1.7167996558 1.7167996558 282.0 11.0 18.0 0.9766666666666667 0.9766666666666667 it1_smooth_3Hz_whiskers_curvature
Class3 P1 avg it1_smooth_3Hz 1.719670628 1.719670628 285.0 11.0 15.0 0.9866666666666667 0.9866666666666667 it1_smooth_3Hz_avg_curvature
Class3 P1 full it1_smooth_4Hz 2.2290885662 2.2290885662 261.0 36.0 39.0 0.99 0.99 it1_smooth_4Hz_full_line_distance_3
Class3 P2 avg it1 0.9871401183 0.5570489333 296.0 24.0 4.0 1.0733333333333333 0.9933333333333333 it1_avg_concave
Class3 P2 avg it1 0.9955293847 0.5570489333 296.0 25.0 4.0 1.0766666666666667 0.9933333333333333 it1_avg_concave_d2x=0-002
Class3 P2 avg it1_smooth_4Hz 1.8273458279 1.8273458279 254.0 24.0 46.0 0.9266666666666666 0.9266666666666666 it1_smooth_4Hz_avg_concave,it1_smooth_4Hz_avg_concave_d2x=0-002
Class3 P2 avg it1 2.2881945548 1.4566793198 281.0 64.0 19.0 1.29 1.0 it1_avg_wavelet
Class3 P2 avg it1 2.3189033295 1.8300119341 290.0 42.0 10.0 1.1166666666666667 1.0 it1_avg_hilbert
Class3 P2 whiskers it1 3.7099672882 2.2737088447 257.0 79.0 43.0 1.1233333333333333 0.95 it1_whiskers_concave
Class3 P2 whiskers it1 3.7240024146 2.2737088447 257.0 80.0 43.0 1.1266666666666667 0.95 it1_whiskers_concave_d2x=0-002
Class3 P2 avg it1 4.1238224885 1.1733417999 291.0 410.0 9.0 2.5633333333333335 1.0 it1_avg_curvature
Class3 P2 full it1 5.103922246 0.6266710521 297.0 149.0 3.0 1.4933333333333334 1.0 it1_full_concave
Class3 P2 full it1 5.1689236826 0.6266710521 297.0 157.0 3.0 1.52 1.0 it1_full_concave_d2x=0-002
Class3 P3 avg it1 1.280152452 1.1230996906 257.0 17.0 43.0 0.9233333333333333 0.8666666666666667 it1_avg_hilbert
Class3 P3 avg it1 7.797220296 3.8611852966 268.0 469.0 32.0 2.6566666666666667 0.9833333333333333 it1_avg_curvature
Class4 P2 whiskers it1 0.3406595839 0.2417584742 89.0 3.0 11.0 0.93 0.91 it1_whiskers_concave,it1_whiskers_concave_d2x=0-002
Class4 P2 full it1 0.3905729462 0.0808081601 98.0 10.0 2.0 1.09 0.99 it1_full_concave_d2x=0-002
Class4 P2 full it1 0.3945584127 0.0816327332 97.0 6.0 3.0 1.04 0.98 it1_full_concave
Class4 P2 full it1_smooth_4Hz 0.9032262733 0.9032262733 90.0 3.0 10.0 0.93 0.93 it1_smooth_4Hz_full_concave,it1_smooth_4Hz_full_concave_d2x=0-002
Class4 P2 full it1_smooth_3Hz 1.2391327819 1.2391327819 87.0 5.0 13.0 0.92 0.92 it1_smooth_3Hz_full_concave,it1_smooth_3Hz_full_concave_d2x=0-002
Class4 P2 full it1 1.4777785713 1.4777785713 86.0 4.0 14.0 0.9 0.9 it1_full_modified_scholkmann0-5
Class4 P2 none it1_smooth_4Hz 1.6010297671 0.9090918403 96.0 6.0 4.0 1.02 0.99 it1_smooth_4Hz_none_concave,it1_smooth_4Hz_none_concave_d2x=0-002
Class4 P2 none it1_smooth_3Hz 1.877573195 1.3367377349 92.0 7.0 8.0 0.99 0.98 it1_smooth_3Hz_none_concave,it1_smooth_3Hz_none_concave_d2x=0-002
Class4 P2 full it1 2.3911626843 2.0306178914 87.0 21.0 13.0 1.08 0.98 it1_full_hilbert
Class4 P2 none it1 2.5900013502 2.5900013502 89.0 11.0 11.0 1.0 1.0 it1_none_modified_scholkmann0-5
