Class Peak Range Dataset Mean_XY_Error Min_XY_Error TP FP FN Peak_Count %_Signals_with_Peak Config
Class3 P1 whiskers it1 0.6613941345 0.6519004619839904 158.0 0.0 142.0 0.53 0.5266666666666666 it1_whiskers_concave
Class3 P1 full it1 0.6981170276 0.6478004590784308 159.0 1.0 141.0 0.5366666666666666 0.53 it1_full_concave
Class3 P1 whiskers it1 0.7641526911 0.6729577080356425 158.0 5.0 142.0 0.5466666666666666 0.53 it1_whiskers_concave_d2x=0-002
Class3 P1 avg it1 0.7733064959 0.7639897241811634 160.0 1.0 140.0 0.54 0.5366666666666666 it1_avg_concave
Class3 P1 full it1 0.8114621658 0.6687517223604197 159.0 7.0 141.0 0.5566666666666666 0.5333333333333333 it1_full_concave_d2x=0-002
Class3 P1 avg it1 0.838491849 0.7839651122059506 160.0 5.0 140.0 0.5533333333333333 0.54 it1_avg_concave_d2x=0-002
Class3 P1 full it1_smooth_4Hz 1.7976788186 1.7976788185745622 158.0 10.0 142.0 0.56 0.56 it1_smooth_4Hz_full_hilbert
Class3 P1 avg it1_smooth_4Hz 1.7976788186 1.7976788185745622 158.0 10.0 142.0 0.56 0.56 it1_smooth_4Hz_avg_hilbert
Class3 P1 whiskers it1_smooth_4Hz 1.7976788186 1.7976788185745622 158.0 10.0 142.0 0.56 0.56 it1_smooth_4Hz_whiskers_hilbert
Class3 P1 full it1_smooth_3Hz 2.1831621547 2.183162154670657 60.0 11.0 240.0 0.2366666666666666 0.2366666666666666 it1_smooth_3Hz_full_hilbert
Class3 P1 whiskers it1_smooth_3Hz 2.1831621547 2.183162154670657 60.0 11.0 240.0 0.2366666666666666 0.2366666666666666 it1_smooth_3Hz_whiskers_hilbert
Class3 P1 avg it1_smooth_3Hz 2.2083964105 2.2083964105355376 60.0 12.0 240.0 0.24 0.24 it1_smooth_3Hz_avg_hilbert
Class3 P1 full it1_smooth_4Hz 2.7444983689 2.744498368894845 64.0 26.0 236.0 0.3 0.3 it1_smooth_4Hz_full_concave,it1_smooth_4Hz_full_concave_d2x=0-002
Class3 P1 whiskers it1_smooth_4Hz 2.7753354292 2.7753354292195067 63.0 26.0 237.0 0.2966666666666667 0.2966666666666667 it1_smooth_4Hz_whiskers_concave,it1_smooth_4Hz_whiskers_concave_d2x=0-002
Class3 P1 avg it1_smooth_4Hz 2.9341420418 2.934142041760801 64.0 27.0 236.0 0.3033333333333333 0.3033333333333333 it1_smooth_4Hz_avg_concave,it1_smooth_4Hz_avg_concave_d2x=0-002
Class3 P1 avg it1 3.618525003 3.567343176763801 105.0 153.0 195.0 0.8733333333333333 0.8466666666666667 it1_avg_hilbert
Class3 P1 whiskers it1 3.6254020412 3.5905682420626626 97.0 151.0 203.0 0.84 0.8133333333333334 it1_whiskers_hilbert
Class3 P1 full it1 3.6409664447 3.5827345516949265 100.0 154.0 200.0 0.86 0.83 it1_full_hilbert
Class3 P1 avg it1_smooth_3Hz 4.2918458098 4.291845809818613 6.0 18.0 294.0 0.08 0.08 it1_smooth_3Hz_avg_concave,it1_smooth_3Hz_avg_concave_d2x=0-002
Class3 P1 full it1_smooth_3Hz 4.6524031341 4.6524031341013865 4.0 19.0 296.0 0.0766666666666666 0.0766666666666666 it1_smooth_3Hz_full_concave,it1_smooth_3Hz_full_concave_d2x=0-002
Class3 P1 whiskers it1_smooth_3Hz 4.6524031341 4.6524031341013865 4.0 19.0 296.0 0.0766666666666666 0.0766666666666666 it1_smooth_3Hz_whiskers_concave,it1_smooth_3Hz_whiskers_concave_d2x=0-002
