Sample_no,ICP,Second_Derivative
0,0.0128971746555102,-0.0005059840180469959
1,0.0136237852769784,-0.00041086487983839825
2,0.0138919714495039,-0.00023269977735655006
3,0.0138919714495039,-0.0009167462568517005
4,0.0139559691340714,-0.0014823948014791749
5,0.0104931725946226,0.00011650966300585041
6,0.0080903876127222,0.0018269924979424498
7,0.0075604123917647,0.0024620453230254497
8,0.0095327760831428,0.002964638206516
9,0.0144758334810086,0.0034061434656341505
10,0.0228337173796274,0.00378191109324085
11,0.0350158284327891,0.004009403629443423
12,0.0512623030490754,0.0040452746594081745
13,0.0715934379023433,0.0039058204759896287
14,0.0958719873561561,0.0035665748000744766
15,0.123794329275856,0.0029354895429339473
16,0.1547479708635347,0.001981139885013472
17,0.1877371788211045,0.0008368604171456774
18,0.2215485139109672,-0.00028444384491842223
19,0.2550274700349357,-0.0012594958353619942
20,0.287211281578726,-0.0020917088415351726
21,0.3172797779073189,-0.002800193044442442
22,0.3445072138803441,-0.0033345664931257873
23,0.3683313136019324,-0.0036090534283907683
24,0.3884648802094591,-0.0035732322831521363
25,0.4049466355829828,-0.0032319328456395374
26,0.4181296174059655,-0.0026361850286049093
27,0.428634226181475,-0.0018816495551268048
28,0.4372496144880523,-0.001085385649176887
29,0.44479521855946,-0.0003272926500275386
30,0.4520280689734315,0.0003794927794325831
31,0.4596470403373349,0.0010440508271968157
32,0.4683244945765411,0.0016397989456963663
33,0.478675065423997,0.002110197642530273
34,0.4911801159624361,0.0024123511771747402
35,0.5061438810807802,0.002525743891621704
36,0.5236851420570301,0.0024332609107459297
37,0.5437156723040503,0.0021361558150137794
38,0.5659232117946078,0.0016932037968372116
39,0.5898320867873754,0.001207434515834993
40,0.6149340967195344,0.0007510043717159631
41,0.6407782393340405,0.00031772608550426074
42,0.6669489991313248,-0.0001379311656220239
43,0.6929952962227227,-0.0006284218162425359
44,0.7184121768806271,-0.0011063223114828324
45,0.7426986658464347,-0.001489151481112977
46,0.7654500653839981,-0.0016987811657334928
47,0.7864454295456949,-0.001701992612961889
48,0.8056928292244351,-0.0015434427600154732
49,0.8233842227931074,-0.0013324705277173443
50,0.8397618220248102,-0.001167624676334994
51,0.8549931339296506,-0.0010625630007126685
52,0.8691603161198453,-0.0009545116795164343
53,0.8823517930633431,-0.0007859219111715499
54,0.8947407634968148,-0.0005700160767905527
55,0.9065667645523494,-0.00038263777823763223
56,0.918041146566622,-0.0003047368330582334
57,0.9292511849284052,-0.00036826647102014554
58,0.9401225823041962,-0.0005374604445398112
59,0.9504625394203804,-0.000737503019175384
60,0.9600541762636112,-0.000914846480364051
61,0.968723881835654,-0.0010728405000460794
62,0.97632638430157,-0.0012391430284916238
63,0.9826938622507434,-0.001408437297105991
64,0.9876420202255624,-0.0015471730518162308
65,0.9910300934774088,-0.0016566515019844352
66,0.9927689639422898,-0.0017885637915233954
67,0.9927397186961364,-0.0019663070290188156
68,0.9907416524929236,-0.0021169652654795534
69,0.9865841157987888,-0.002126364058189306
70,0.9802464799816392,-0.001960839232389544
71,0.971923056668684,-0.0016986162360148882
72,0.9619079505407966,-0.0014327690445161967
73,0.9504675325945195,-0.0011733684301826752
74,0.9378383449218892,-0.0008595668918158772
75,0.9243185347996244,-0.000442631290717338
76,0.9103304717357183,6.379517893129183e-05
77,0.89639901184186,0.0005967527825913588
78,0.8830777792652726,0.0010793881772228064
79,0.870866500014461,0.0014483731239073871
80,0.8601426395037182,0.0016707445278213995
81,0.8511274806826915,0.0017432793514495226
82,0.8438904778534493,0.0016718057044536327
83,0.8383615787567201,0.0014558235064210945
84,0.8343255390209949,0.0011007796891630284
85,0.8314189708564331,0.0006373995689643308
86,0.8291637189451927,0.00011600295650587844
87,0.8270259612320034,-0.0004140197613228813
88,0.824465910695414,-0.0009081105967353731
89,0.8209768725622822,-0.0013184622405388313
90,0.8161356600586938,-0.0016020363401524629
91,0.8096539349304057,-0.001738970163119219
92,0.8013972640613637,-0.0017312785539791153
93,0.7913751166460523,-0.0015871740030684867
94,0.7797337538481172,-0.0013238212812952677
95,0.766747602349425,-0.0009821735034186152
96,0.7527749585096896,-0.0006144150043000396
97,0.7381913940391231,-0.00025161020342853724
98,0.7233585031540618,9.30483932698456e-05
99,0.7086287449151072,0.00038435931303515414
100,0.6943142413715134,0.0005644609011227764
101,0.6806035330432318,0.0006181970060012698
102,0.6675278231934562,0.0006124688969074144
103,0.6550511091953616,0.000630308823123954
104,0.6431912806030285,0.000672443579788573
105,0.6320199206399871,0.0006602673333245268
106,0.6215445123317552,0.0005389668012723559
107,0.6116298014179108,0.0003465921880334011
108,0.6020536112655713,0.00017453817703080854
109,0.592626050947968,8.782649674823895e-05
110,0.5832608629075107,9.048837658870434e-05
111,0.5739736064650183,0.00013400428819773658
112,0.5648300680558048,0.00014041258519703614
113,0.5558571791348594,5.0186708950433756e-05
114,0.5469609235448871,-0.00011769860393304188
115,0.5379414986405023,-0.00026822198490028537
116,0.5286209846182373,-0.0003231905930694834
117,0.5189529302065441,-0.0003021594004121164
118,0.5089882833193095,-0.00028436357650736543
119,0.4987557241709374,-0.0003047242426037766
