Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,curvature,avg,it1,4.292666666666666,0.07056868215514604,4.293328944488143,3.1737273668954726,171.0,330.0,129.0,1.78,1.0
Class1,P2,curvature,avg,it1,4.618418079096045,0.030195612467963075,4.618564101911173,2.959407402303489,232.0,279.0,68.0,1.9066666666666667,0.9833333333333333
Class1,P3,curvature,avg,it1,8.893990895000996,0.05381086022948499,8.894187775351211,3.4781962124238692,265.0,819.0,35.0,3.86,0.99
Class2,P1,curvature,avg,it1,5.1095,0.08396684908177639,5.110289845489948,4.013859983518205,131.0,347.0,169.0,1.6433333333333333,1.0
Class2,P2,curvature,avg,it1,3.927675585284281,0.024993076500801268,3.927778398829405,1.9632539360475925,254.0,326.0,46.0,2.1,0.9966666666666667
Class2,P3,curvature,avg,it1,7.710208631947762,0.054570604610173594,7.710433543142195,2.568626586010077,272.0,622.0,28.0,3.1766666666666667,0.9966666666666667
Class3,P1,curvature,avg,it1,3.8305555555555557,0.06175458869495061,3.8311065359762497,3.213723113386696,172.0,224.0,128.0,1.3966666666666667,1.0
Class3,P2,curvature,avg,it1,4.123679894179895,0.02904380004528882,4.123822488455708,1.1733417998952673,291.0,410.0,9.0,2.5633333333333335,1.0
Class3,P3,curvature,avg,it1,7.796908797417272,0.06615160871367594,7.797220296023742,3.8611852965737374,268.0,469.0,32.0,2.6566666666666667,0.9833333333333333
Class4,P1,curvature,avg,it1,,,,,0.0,0.0,33.0,2.5,0.67
Class4,P2,curvature,avg,it1,53.08830845771144,0.46853636415854116,53.09045189754393,49.52439694968221,0.0,119.0,100.0,1.19,0.67
Class4,P3,curvature,avg,it1,,,,,0.0,0.0,39.0,1.05,0.61
