Sample_no,ICP
0,0.02752840311976531
1,0.02767200079889596
2,0.02767200079889596
3,0.02882287486046941
4,0.030628251117030013
5,0.025340716428234756
6,0.018610039818700234
7,0.012292618193552467
8,0.009641842577586138
9,0.012508280564974415
10,0.02005961534178627
11,0.030389362874346064
12,0.04304834564690763
13,0.059682585588322665
14,0.08235093851000727
15,0.11163866405984889
16,0.14651528655953439
17,0.18565163408728516
18,0.22846166397784134
19,0.27488656772847697
20,0.3245698079409912
21,0.37659097473575
22,0.4300153703894295
23,0.48447083340748137
24,0.5399524804867234
25,0.5959848233630547
26,0.6511100858138757
27,0.7034845547445606
28,0.7521663133624403
29,0.7976303199603516
30,0.8405415207533707
31,0.8797886200128266
32,0.9121379601111452
33,0.9345480430640358
34,0.9470807269310728
35,0.953074271284715
36,0.9559487195442382
37,0.9560196787914311
38,0.9510579736224969
39,0.9400594656360794
40,0.9256990604388879
41,0.9123374885963998
42,0.9018387300544
43,0.8922303859381405
44,0.8808117693767694
45,0.8678719584839261
46,0.8565096114509306
47,0.8489115045663433
48,0.8436898147848674
49,0.8373544433041572
50,0.8279324976325192
51,0.8164856452595864
52,0.8051515073919441
53,0.7943158930285882
54,0.7819451974291521
55,0.7652888413943705
56,0.7429447239888444
57,0.7156751558639625
58,0.6858383766389422
59,0.6559843430929055
60,0.6272948377068485
61,0.5989291304017725
62,0.569219725105383
63,0.5380563268879955
64,0.508026831078544
65,0.4826011389189944
66,0.46286269235368854
67,0.4463700386270702
68,0.4296973443563056
69,0.41203574152996186
70,0.3959035927904034
71,0.38428389958470766
72,0.3775418158254431
73,0.3735073100465096
74,0.3702884784415016
75,0.368398614086397
76,0.3699768523314421
77,0.3764159263030524
78,0.3872473881367702
79,0.4012030914340318
80,0.4177130073709771
81,0.4369106172082922
82,0.45836229596019645
83,0.48035319397539433
84,0.5007598429446632
85,0.518507983663837
86,0.5339012140046564
87,0.5474965910278771
88,0.55892989583858
89,0.5670888206301817
90,0.5713877039646995
91,0.5726340817589348
92,0.5725378642680597
93,0.5724840256146931
94,0.5728550327627189
95,0.5733478730456557
96,0.5736467519863959
97,0.5737537746366611
98,0.5739266803971503
99,0.5744372463501493
100,0.5751612721182121
101,0.5751664835715601
102,0.5729707394784674
103,0.5678212540927156
104,0.5609084185229727
105,0.5547292131056789
106,0.5505667320877263
107,0.546712347865597
108,0.5399628250491668
109,0.5292698257214866
110,0.5173543414217995
111,0.507961407315188
112,0.501624917895109
113,0.49497056469939854
114,0.48456601272458555
115,0.4708006197264961
116,0.4571956058543366
117,0.4461594299742291
118,0.43648369819105803
119,0.42547794681839013
120,0.41277142955860097
121,0.4009537545503942
122,0.3924635200868714
123,0.3867725709390356
124,0.3811913379750202
125,0.3739561847303764
126,0.3657743423683473
127,0.35836650557070043
128,0.35215905303811046
129,0.34569696301049263
130,0.33688065058787386
131,0.32440109172419596
132,0.30838285960662454
133,0.290400771522278
134,0.27297001522019604
135,0.2582418630448435
136,0.24644176192525763
137,0.23565027378374095
138,0.2237145656072985
139,0.2106519606131889
140,0.1988809098014549
141,0.19077500385995946
142,0.18611478897829353
143,0.1822591140751428
144,0.17683514666611094
145,0.16999600514639487
146,0.1639638977751935
147,0.16066150779694546
148,0.16007069371127244
149,0.1607280385977924
150,0.1613228537065015
151,0.16155684257706113
152,0.1617341254049091
153,0.16202516732720743
154,0.16232828824341164
155,0.16259139770842534
156,0.162915610615829
157,0.16330018061355167
158,0.16354748096927818
159,0.16361174593702144
160,0.1638702228048278
161,0.16465344741996213
162,0.16533423392311125
163,0.16419759219464072
164,0.1597612068425984
165,0.15245377548563235
166,0.14465437589402608
167,0.1385518216206005
168,0.13383742710938723
169,0.12787834344831367
170,0.11853421016169631
171,0.10671328232915198
172,0.09577666236318652
173,0.08830852384881986
174,0.08376314298108478
175,0.0794978240623549
176,0.06736740740597479
177,0.05402203020880737
178,0.04164894749528075
179,0.03205537168547093
