Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,avg,it1_smooth_4Hz,1.7380073800738007,0.011888957766574974,1.7380637086323356,1.7380637086323356,261.0,10.0,39.0,0.9033333333333333,0.9033333333333333
Class1,P2,modified_scholkmann0-5,avg,it1_smooth_4Hz,11.666666666666666,0.038538433104208514,11.666752195064792,11.666752195064792,25.0,17.0,275.0,0.14,0.14
Class1,P3,modified_scholkmann0-5,avg,it1_smooth_4Hz,2.3588709677419355,0.005868557299453899,2.3588819159684635,2.3588819159684635,205.0,43.0,95.0,0.8266666666666667,0.8266666666666667
Class2,P1,modified_scholkmann0-5,avg,it1_smooth_4Hz,2.86046511627907,0.011155945622632784,2.860499206131604,2.860499206131604,34.0,9.0,266.0,0.14333333333333334,0.14333333333333334
Class2,P2,modified_scholkmann0-5,avg,it1_smooth_4Hz,1.4752475247524752,0.0024880307798350516,1.4752514323907948,1.4752514323907948,190.0,12.0,110.0,0.6733333333333333,0.6733333333333333
Class2,P3,modified_scholkmann0-5,avg,it1_smooth_4Hz,2.2083333333333335,0.006413784328915408,2.2083457989534505,2.2083457989534505,103.0,17.0,197.0,0.4,0.4
Class3,P1,modified_scholkmann0-5,avg,it1_smooth_4Hz,,,,,0.0,0.0,300.0,0.0,0.0
Class3,P2,modified_scholkmann0-5,avg,it1_smooth_4Hz,2.2864864864864867,0.00568605306054201,2.286496970180664,2.286496970180664,162.0,23.0,138.0,0.6166666666666667,0.6166666666666667
Class3,P3,modified_scholkmann0-5,avg,it1_smooth_4Hz,1.6140350877192982,0.005448672366738514,1.6140475885969807,1.6140475885969807,108.0,6.0,192.0,0.38,0.38
Class4,P1,modified_scholkmann0-5,avg,it1_smooth_4Hz,,,,,0.0,0.0,70.0,0.3,0.3
Class4,P2,modified_scholkmann0-5,avg,it1_smooth_4Hz,,,,,0.0,0.0,100.0,0.0,0.0
Class4,P3,modified_scholkmann0-5,avg,it1_smooth_4Hz,,,,,0.0,0.0,100.0,0.0,0.0
