Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,avg,it1_smooth_4Hz,2.716666666666667,0.025190468772459226,2.716793348409526,2.716793348409526,247.0,53.0,53.0,1.0,1.0
Class1,P2,hilbert,avg,it1_smooth_4Hz,4.890410958904109,0.014488405604060577,4.890441471136127,4.890441471136127,113.0,33.0,187.0,0.4866666666666667,0.4866666666666667
Class1,P3,hilbert,avg,it1_smooth_4Hz,2.4909090909090907,0.006043826935056941,2.4909191796810957,2.4909191796810957,216.0,59.0,84.0,0.9166666666666666,0.9166666666666666
Class2,P1,hilbert,avg,it1_smooth_4Hz,3.1,0.029686200395848027,3.100154969780497,3.100154969780497,198.0,102.0,102.0,1.0,1.0
Class2,P2,hilbert,avg,it1_smooth_4Hz,1.87984496124031,0.00433231985645014,1.8798544173845841,1.8798544173845841,230.0,28.0,70.0,0.86,0.86
Class2,P3,hilbert,avg,it1_smooth_4Hz,2.405982905982906,0.007793479715211557,2.4059989403159836,2.4059989403159836,189.0,45.0,111.0,0.78,0.78
Class3,P1,hilbert,avg,it1_smooth_4Hz,1.7976190476190477,0.0133002918224731,1.7976788185745622,1.7976788185745622,158.0,10.0,142.0,0.56,0.56
Class3,P2,hilbert,avg,it1_smooth_4Hz,2.4536082474226806,0.007660342537430446,2.4536235645821716,2.4295684497618564,246.0,46.0,54.0,0.9733333333333334,0.97
Class3,P3,hilbert,avg,it1_smooth_4Hz,1.648780487804878,0.005185796350867215,1.6487908260642536,1.6487908260642536,191.0,14.0,109.0,0.6833333333333333,0.6833333333333333
Class4,P1,hilbert,avg,it1_smooth_4Hz,,,,,0.0,0.0,70.0,0.3,0.3
Class4,P2,hilbert,avg,it1_smooth_4Hz,,,,,0.0,0.0,100.0,0.0,0.0
Class4,P3,hilbert,avg,it1_smooth_4Hz,,,,,0.0,0.0,99.0,0.02,0.01
