Class,Peak,File,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,Reference_Peaks,Detected_Peaks,%_Signals_with_Peak,Method
Class1,P1,Class1_example_0050,1.0,0.010504080810704308,1.0000551663351767,1.0000551663351767,1.0,0.0,0,1,42,[41],0.37,wavelet
Class1,P1,Class1_example_0051,,,,,,,1,0,29,[],0.37,wavelet
Class1,P1,Class1_example_0052,,,,,,,1,0,31,[],0.37,wavelet
Class1,P1,Class1_example_0053,1.5,0.01885286136202241,1.5001193830576303,1.0000606061691444,1.0,0.0,0,2,27,"[25, 26]",0.37,wavelet
Class1,P1,Class1_example_0054,,,,,,,1,0,35,[],0.37,wavelet
Class1,P1,Class1_example_0055,,,,,,,1,0,35,[],0.37,wavelet
Class1,P1,Class1_example_0056,,,,,,,1,0,28,[],0.37,wavelet
Class1,P1,Class1_example_0057,,,,,,,1,0,30,[],0.37,wavelet
Class1,P1,Class1_example_0058,,,,,,,1,0,27,[],0.37,wavelet
Class1,P1,Class1_example_0059,1.0,0.01728950052116962,1.000149452246149,1.000149452246149,1.0,0.0,0,1,26,[27],0.37,wavelet
Class1,P1,Class1_example_0060,,,,,,,1,0,30,[],0.37,wavelet
Class1,P1,Class1_example_0061,,,,,,,1,0,24,[],0.37,wavelet
Class1,P1,Class1_example_0062,,,,,,,1,0,27,[],0.37,wavelet
Class1,P1,Class1_example_0063,,,,,,,1,0,26,[],0.37,wavelet
Class1,P1,Class1_example_0064,,,,,,,1,0,36,[],0.37,wavelet
Class1,P1,Class1_example_0065,,,,,,,1,0,27,[],0.37,wavelet
Class1,P1,Class1_example_0066,,,,,,,1,0,33,[],0.37,wavelet
Class1,P1,Class1_example_0067,,,,,,,1,0,29,[],0.37,wavelet
Class1,P1,Class1_example_0068,,,,,,,1,0,60,[],0.37,wavelet
Class1,P1,Class1_example_0069,,,,,,,1,0,30,[],0.37,wavelet
Class1,P1,Class1_example_0070,2.0,0.019008175201633226,2.0000903256414437,2.0000903256414437,1.0,0.0,0,1,38,[36],0.37,wavelet
Class1,P1,Class1_example_0071,,,,,,,1,0,34,[],0.37,wavelet
Class1,P1,Class1_example_0072,5.0,0.05614852079497901,5.000315255700131,5.000315255700131,0.0,1.0,1,1,46,[41],0.37,wavelet
Class1,P1,Class1_example_0073,,,,,,,1,0,21,[],0.37,wavelet
Class1,P1,Class1_example_0074,,,,,,,1,0,29,[],0.37,wavelet
Class1,P1,Class1_example_0075,,,,,,,1,0,30,[],0.37,wavelet
Class1,P1,Class1_example_0076,,,,,,,1,0,31,[],0.37,wavelet
Class1,P1,Class1_example_0077,,,,,,,1,0,31,[],0.37,wavelet
Class1,P1,Class1_example_0078,1.0,0.009611444974688355,1.0000461888705447,1.0000461888705447,1.0,0.0,0,1,33,[32],0.37,wavelet
Class1,P1,Class1_example_0079,0.0,0.0,0.0,0.0,1.0,0.0,0,1,29,[29],0.37,wavelet
Class1,P1,Class1_example_0080,0.5,0.01017593845030601,0.5001035390030193,0.0,1.0,0.0,0,2,28,"[27, 28]",0.37,wavelet
