Class;Variable;Min;Q1;Median;Q3;Max;Lower_Whisker;Upper_Whisker
Class1;P1_Amp;0,914;0,963;0,974;0,981;0,995;0,938;0,995
Class1;P2_Amp;0,365;0,658;0,718;0,781;0,887;0,474;0,887
Class1;P3_Amp;0,177;0,518;0,618;0,718;0,902;0,219;0,902
Class2;P1_Amp;0,828;0,924;0,955;0,978;0,997;0,842;0,997
Class2;P2_Amp;0,761;0,954;0,982;0,990;0,998;0,898;0,998
Class2;P3_Amp;0,290;0,670;0,805;0,915;0,997;0,303;0,997
Class3;P1_Amp;0,235;0,516;0,600;0,699;0,891;0,242;0,891
Class3;P2_Amp;0,782;0,971;0,984;0,989;0,998;0,944;0,998
Class3;P3_Amp;0,666;0,867;0,923;0,981;0,998;0,697;0,998
Class4;P2_Amp;0,955;0,991;0,993;0,996;0,998;0,985;0,998
