Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Std_XY_Error,%_Files_With_Peak,Peak_Count
Class1,P1,0.02880658436213992,3.938823315659948e-05,0.02880662257050622,0.16726278508699946,0.972,243
Class1,P2,2.2990654205607477,0.014169874234722098,2.29912401606898,3.698318929773094,0.856,214
Class1,P3,2.0283018867924527,0.004880604575485274,2.0283183011473302,3.219901218897001,0.848,212
Class2,P1,1.949579831932773,0.027185892317638922,1.9497905072454504,1.5332365442865368,0.952,238
Class2,P2,3.222857142857143,0.012760777729415316,3.2228957959380873,6.775750423962851,0.7,175
Class2,P3,10.421800947867299,0.05516025003596513,10.42202026534724,9.9798070278132,0.844,211
Class3,P1,2.0441767068273093,0.03285007729091469,2.044471863509851,1.5164313162598198,0.996,249
Class3,P2,2.925581395348837,0.004576564345504781,2.9255871691276725,4.104914626315735,0.86,215
Class3,P3,4.41044776119403,0.02556637638674417,4.410549913182766,7.969620821906696,0.536,134
Class4,P2,0.813953488372093,0.0019425959529403112,0.8139567933653113,1.6741014324932735,0.86,43
