Class,Peak,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Std_XY_Error,%_Files_With_Peak,Peak_Count
Class1,P1,0.3048780487804878,0.0018542679172325774,0.3048847560419886,1.88077021873148,0.984,246
Class1,P2,2.1226415094339623,0.01377537363339906,2.1226999461317777,2.5889302597259825,0.848,212
Class1,P3,2.023696682464455,0.004897590063368609,2.023713173284407,3.2268257241606344,0.844,211
Class2,P1,1.9350649350649352,0.027170609371052513,1.935276722947244,1.5319465676056763,0.924,231
Class2,P2,2.3838383838383836,0.010510844431030881,2.3838732893759604,5.247846190047112,0.792,198
Class2,P3,11.617224880382775,0.060565046441031646,11.617465593929754,9.226706959094768,0.836,209
Class3,P1,2.0543933054393304,0.0320632999035634,2.054669615602999,1.5284747295422871,0.956,239
Class3,P2,2.756880733944954,0.006160005793621041,2.7568923341041636,4.388331217320576,0.872,218
Class3,P3,4.927007299270073,0.029527674982917897,4.927125316768672,8.61587208221102,0.548,137
Class4,P2,0.9166666666666666,0.0020731576820721825,0.9166707186703484,1.83523218089282,0.96,48
