Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,avg,it1,3.0083333333333333,0.03140084118194299,3.0085078479867686,2.873487537463975,214.0,109.0,86.0,1.2166666666666666,1.0
Class1,P2,wavelet,avg,it1,4.030201342281879,0.024253051028624767,4.030303204152423,3.9564758872654924,218.0,97.0,82.0,1.1066666666666667,0.9933333333333333
Class1,P3,wavelet,avg,it1,6.400111856823266,0.03756904169385743,6.400250397098562,4.865880723747011,231.0,167.0,69.0,1.43,0.9933333333333333
Class2,P1,wavelet,avg,it1,4.177222222222222,0.05073435025175728,4.177550887801952,3.990303904184036,128.0,223.0,172.0,1.22,1.0
Class2,P2,wavelet,avg,it1,3.1273690078037903,0.01772082321704384,3.1274315504917127,2.8428674426288474,219.0,109.0,81.0,1.1666666666666667,0.9966666666666667
Class2,P3,wavelet,avg,it1,5.523611111111111,0.03375402777580472,5.5237364602001575,4.286755954244259,203.0,189.0,97.0,1.39,1.0
Class3,P1,wavelet,avg,it1,2.77,0.03346483452947701,2.7702224005606095,2.65353469880726,231.0,92.0,69.0,1.2,1.0
Class3,P2,wavelet,avg,it1,2.2881666666666667,0.008967604157776568,2.2881945548246123,1.4566793197816525,281.0,64.0,19.0,1.29,1.0
Class3,P3,wavelet,avg,it1,6.067897091722595,0.04892586350678297,6.068122175032687,5.261946256289935,233.0,119.0,67.0,1.29,0.9933333333333333
Class4,P1,wavelet,avg,it1,,,,,0.0,0.0,64.0,0.79,0.36
Class4,P2,wavelet,avg,it1,55.51020408163265,0.4976961007543651,55.5125079083071,52.81854091570136,0.0,66.0,100.0,0.66,0.49
Class4,P3,wavelet,avg,it1,,,,,0.0,0.0,56.0,0.54,0.44
