File,P1,P2,P3
Class4_example_0001,-1,60,-1
Class4_example_0002,-1,55,-1
Class4_example_0003,-1,61,-1
Class4_example_0004,-1,60,-1
Class4_example_0005,-1,60,-1
Class4_example_0006,-1,58,-1
Class4_example_0007,-1,67,-1
Class4_example_0008,-1,57,-1
Class4_example_0009,-1,53,-1
Class4_example_0010,-1,60,-1
Class4_example_0011,-1,55,-1
Class4_example_0012,-1,58,-1
Class4_example_0013,-1,58,-1
Class4_example_0014,-1,60,-1
Class4_example_0015,-1,58,-1
Class4_example_0016,-1,64,-1
Class4_example_0017,-1,59,-1
Class4_example_0018,-1,60,-1
Class4_example_0019,-1,60,-1
Class4_example_0020,-1,63,-1
Class4_example_0021,-1,61,-1
Class4_example_0022,-1,58,-1
Class4_example_0023,-1,65,-1
Class4_example_0024,-1,55,-1
Class4_example_0025,-1,55,-1
Class4_example_0026,-1,57,-1
Class4_example_0027,-1,60,-1
Class4_example_0028,-1,68,-1
Class4_example_0029,-1,68,-1
Class4_example_0030,-1,60,-1
Class4_example_0031,-1,62,-1
Class4_example_0032,-1,61,-1
Class4_example_0033,-1,65,-1
Class4_example_0034,-1,60,-1
Class4_example_0035,-1,57,-1
Class4_example_0036,-1,60,-1
Class4_example_0037,-1,61,-1
Class4_example_0038,-1,55,-1
Class4_example_0039,-1,64,-1
Class4_example_0040,-1,64,-1
Class4_example_0041,-1,61,-1
Class4_example_0042,-1,64,-1
Class4_example_0043,-1,63,-1
Class4_example_0044,-1,63,-1
Class4_example_0045,-1,59,-1
Class4_example_0046,-1,60,-1
Class4_example_0047,-1,63,-1
Class4_example_0048,-1,65,-1
Class4_example_0049,-1,63,-1
Class4_example_0050,-1,62,-1
Class4_example_0051,-1,69,-1
Class4_example_0052,-1,60,-1
Class4_example_0053,-1,59,-1
Class4_example_0054,-1,60,-1
Class4_example_0055,-1,57,-1
Class4_example_0056,-1,61,-1
Class4_example_0057,-1,63,-1
Class4_example_0058,-1,62,-1
Class4_example_0059,-1,61,-1
Class4_example_0060,-1,65,-1
Class4_example_0061,-1,67,-1
Class4_example_0062,-1,60,-1
Class4_example_0063,-1,59,-1
Class4_example_0064,-1,59,-1
Class4_example_0065,-1,71,-1
Class4_example_0066,-1,64,-1
Class4_example_0067,-1,66,-1
Class4_example_0068,-1,52,-1
Class4_example_0069,-1,54,-1
Class4_example_0070,-1,70,-1
Class4_example_0071,-1,50,-1
Class4_example_0072,-1,59,-1
Class4_example_0073,-1,56,-1
Class4_example_0074,-1,58,-1
Class4_example_0075,-1,57,-1
Class4_example_0076,-1,64,-1
Class4_example_0077,-1,49,-1
Class4_example_0078,-1,67,-1
Class4_example_0079,-1,67,-1
Class4_example_0080,-1,66,-1
Class4_example_0081,-1,71,-1
Class4_example_0082,-1,71,-1
Class4_example_0083,-1,62,-1
Class4_example_0084,-1,67,-1
Class4_example_0085,-1,66,-1
Class4_example_0086,-1,66,-1
Class4_example_0087,-1,67,-1
Class4_example_0088,-1,62,-1
Class4_example_0089,-1,51,-1
Class4_example_0090,-1,63,-1
Class4_example_0091,-1,64,-1
Class4_example_0092,-1,60,-1
Class4_example_0093,-1,59,-1
Class4_example_0094,-1,65,-1
Class4_example_0095,-1,57,-1
Class4_example_0096,-1,56,-1
Class4_example_0097,-1,48,-1
Class4_example_0098,-1,47,-1
Class4_example_0099,-1,35,-1
Class4_example_0100,-1,53,-1
