Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave,avg,it2,0.05,0.00012524281011586948,0.05000030007951369,0.028000028453327063,250.0,2.0,0.0,1.016,1.0
Class1,P2,concave,avg,it2,3.6589403973509933,0.009615512534635266,3.6589615919664884,3.4900874689294747,129.0,33.0,121.0,0.652,0.604
Class1,P3,concave,avg,it2,2.443815987933635,0.008963458454069963,2.4438426195515577,1.7013821798215776,212.0,58.0,38.0,1.124,0.884
Class2,P1,concave,avg,it2,0.8326180257510729,0.001784129910782718,0.8326211597667992,0.5965693816724107,229.0,15.0,21.0,0.988,0.932
Class2,P2,concave,avg,it2,1.456415620641562,0.004100791152212161,1.4564240244430444,1.0418474971872147,229.0,38.0,21.0,1.088,0.956
Class2,P3,concave,avg,it2,3.1040515653775325,0.016322723291478936,3.1041114539713575,2.3812694989970056,165.0,57.0,85.0,0.904,0.724
Class3,P1,concave,avg,it2,4.5,0.045979822403494755,4.500285689217586,4.412657784431387,79.0,22.0,171.0,0.408,0.388
Class3,P2,concave,avg,it2,1.0345781466113417,0.0018824427471360145,1.0345813728920734,0.8298785796916318,232.0,23.0,18.0,1.032,0.964
Class3,P3,concave,avg,it2,1.3647798742138364,0.0038670588805722137,1.364790683057751,1.14466477883142,156.0,17.0,94.0,0.696,0.636
Class4,P1,concave,avg,it2,,,,,0.0,0.0,34.0,0.38,0.32
Class4,P2,concave,avg,it2,59.0,0.47797592779017184,59.00193607829786,59.00193607829786,0.0,1.0,50.0,0.02,0.02
Class4,P3,concave,avg,it2,,,,,0.0,0.0,46.0,0.1,0.08
