Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,avg,it2,3.922,0.041735060494722975,3.9222348111246568,3.7442133005389793,132.0,153.0,118.0,1.184,1.0
Class1,P2,wavelet,avg,it2,4.686,0.025117223761519977,4.686097269081639,4.496092376720797,175.0,96.0,75.0,1.148,1.0
Class1,P3,wavelet,avg,it2,7.890160642570281,0.042465375363185426,7.890300839966049,5.731026137473752,164.0,223.0,86.0,1.668,0.996
Class2,P1,wavelet,avg,it2,4.9286666666666665,0.0541039031602985,4.929002753022036,4.5283322468407174,105.0,182.0,145.0,1.188,1.0
Class2,P2,wavelet,avg,it2,4.372489959839357,0.02345659551525186,4.3725813747068205,3.7390414406100048,191.0,92.0,59.0,1.2,0.996
Class2,P3,wavelet,avg,it2,9.140456989247312,0.06571587886503334,9.140721614223578,7.298586370381402,151.0,204.0,99.0,1.52,0.992
Class3,P1,wavelet,avg,it2,3.714190093708166,0.05054807855295633,3.7145652438123506,3.0685849140784045,165.0,126.0,85.0,1.272,0.996
Class3,P2,wavelet,avg,it2,3.529451137884873,0.01666473892962356,3.529515377601629,2.8394102550668046,212.0,87.0,38.0,1.312,0.996
Class3,P3,wavelet,avg,it2,7.492943548387097,0.05408178915057789,7.493161025887541,6.238073706260824,144.0,165.0,106.0,1.3,0.992
Class4,P1,wavelet,avg,it2,,,,,0.0,0.0,30.0,0.66,0.4
Class4,P2,wavelet,avg,it2,56.81818181818182,0.5262847303789394,56.820672241342656,55.457008680517966,0.0,28.0,50.0,0.56,0.44
Class4,P3,wavelet,avg,it2,,,,,0.0,0.0,27.0,0.7,0.46
