Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,modified_scholkmann0-5,avg,it2,0.5133928571428571,0.0006280729284595244,0.5133933741564269,0.5133933741564269,223.0,1.0,27.0,0.896,0.896
Class1,P2,modified_scholkmann0-5,avg,it2,7.84375,0.025473693825407814,7.843823951179135,7.765700312597598,48.0,17.0,202.0,0.26,0.256
Class1,P3,modified_scholkmann0-5,avg,it2,1.7112299465240641,0.003326679362732071,1.7112357417674218,1.7112357417674218,166.0,21.0,84.0,0.748,0.748
Class2,P1,modified_scholkmann0-5,avg,it2,3.5,0.00710084188259593,3.5000116547274733,3.352952377549081,42.0,10.0,208.0,0.208,0.204
Class2,P2,modified_scholkmann0-5,avg,it2,2.409090909090909,0.005515553543599797,2.40910015044411,2.40910015044411,157.0,19.0,93.0,0.704,0.704
Class2,P3,modified_scholkmann0-5,avg,it2,1.6699029126213591,0.004339828285048921,1.6699149013661538,1.6699149013661538,89.0,14.0,161.0,0.412,0.412
Class3,P1,modified_scholkmann0-5,avg,it2,27.625,0.33557449777619136,27.62709596196668,27.62709596196668,0.0,8.0,250.0,0.032,0.032
Class3,P2,modified_scholkmann0-5,avg,it2,1.8412698412698412,0.0021684919235124877,1.8412718670575925,1.8412718670575925,178.0,11.0,72.0,0.756,0.756
Class3,P3,modified_scholkmann0-5,avg,it2,0.9038461538461539,0.0010385492169772222,0.9038468918891087,0.9038468918891087,51.0,1.0,199.0,0.208,0.208
Class4,P1,modified_scholkmann0-5,avg,it2,,,,,0.0,0.0,36.0,0.28,0.28
Class4,P2,modified_scholkmann0-5,avg,it2,,,,,0.0,0.0,50.0,0.0,0.0
Class4,P3,modified_scholkmann0-5,avg,it2,,,,,0.0,0.0,50.0,0.0,0.0
