Class,N_Samples,Mean_Amplitude,Std_Amplitude,P1_mean_amp,P1_std_amp,P2_mean_amp,P2_std_amp,P3_mean_amp,P3_std_amp,P1_mean_time,P1_std_time,P2_mean_time,P2_std_time,P3_mean_time,P3_std_time,Mean_AUC,Std_AUC
Class1,300,0.9705999896304865,0.014716573270679767,0.9703886923439705,0.014731479567065848,0.7065916502454541,0.10261844892467949,0.6083354579145184,0.14984100985276777,31.97,6.536749956974031,60.38,10.4881965402383,94.14333333333333,14.46476600417565,77.8768893448399,11.687437560064904
Class2,300,0.9853923817414089,0.01091348338853348,0.947925498729531,0.03684100183734062,0.9680181431937936,0.03345889077142249,0.787956946281751,0.1501805545203643,31.94,5.701730731394927,58.89,8.846726324842804,89.25666666666666,13.384971257180776,95.57708987226111,9.749562662841946
Class3,300,0.985825975849179,0.00760820884483682,0.6053190263755724,0.13541558541012583,0.9711462868070745,0.033799048656326935,0.9099933945798914,0.0749627894085813,26.186666666666667,4.013953440465176,57.67,7.38564598844723,80.4,9.98765905171644,92.86910544929341,7.089938686075792
Class4,100,0.9920845470862073,0.0060825994962615555,,,0.9917331923011354,0.006604217575339144,,,,,60.47,5.563191530048197,,,86.68108417586322,8.014911676642916
