Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Peak_Count,Reference_Peaks,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave,2.8634453781512605,0.01104673109424601,2.863476247111591,1.048,34.488,250.0,238.0
Class1,P1,curvature,5.299145299145299,0.0503770265423702,5.299490255121145,1.056,34.488,250.0,234.0
Class1,P1,hilbert,4.839912280701754,0.04468526344884291,4.8402212902430835,0.996,34.488,250.0,228.0
Class1,P1,line_distance_10,4.527083333333334,0.031380703466836496,4.527248182664136,1.088,34.488,250.0,240.0
Class1,P1,modified_scholkmann_1_99,6.686715304897123,0.021308761814383292,6.686762655240289,3.82,34.488,250.0,143.0
Class1,P1,wavelet,4.373983739837398,0.03283482416453599,4.374156422072632,1.316,34.488,250.0,246.0
Class1,P2,concave,22.695934959349596,0.08513673481804895,22.696232664083126,1.164,62.624,250.0,205.0
Class1,P2,curvature,18.348728246318608,0.07706796703468662,18.348986670710467,1.976,62.624,250.0,249.0
Class1,P2,hilbert,24.878861788617886,0.08282076663239744,24.879080466513436,1.164,62.624,250.0,205.0
Class1,P2,line_distance_10,17.54201101928375,0.06411047683419462,17.542211039408777,1.608,62.624,250.0,242.0
Class1,P2,modified_scholkmann_1_99,23.375858882365733,0.09621267828712021,23.376263493429448,6.348,62.624,250.0,219.0
Class1,P2,wavelet,18.44210174029451,0.07311114973287874,18.4423372651794,2.156,62.624,250.0,249.0
Class1,P3,concave,6.051724137931035,0.01805963268662074,6.051769092924141,1.156,95.988,250.0,232.0
Class1,P3,curvature,20.793666666666667,0.1156250077735021,20.794090193555807,2.38,95.988,250.0,250.0
Class1,P3,hilbert,6.9795197740113,0.01999888455842748,6.979568864834828,1.2,95.988,250.0,236.0
Class1,P3,line_distance_10,18.239,0.09612106775466549,18.23934078208009,1.952,95.988,250.0,250.0
Class1,P3,modified_scholkmann_1_99,10.221939816636786,0.04156966354190716,10.222067096912426,5.932,95.988,250.0,198.0
