Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,Peak_Count,Num_Signals_in_Class,Num_Signals_with_Peak
Class1,P1,concave_d2x=0-002,0.36333333333333334,0.0007071403415836573,0.3633344065055716,0.2000002119000199,1.0133333333333334,300.0,300.0
Class1,P2,concave_d2x=0-002,20.345826932923707,0.08218976916795065,20.34607320122628,11.602312139708859,1.6933333333333334,300.0,279.0
Class1,P3,concave_d2x=0-002,8.008040027605245,0.031249831981838398,8.008135328205558,0.859532994163474,1.69,300.0,299.0
Class2,P1,concave_d2x=0-002,7.376436781609195,0.013603711188431964,7.376456657640191,1.1344880493571305,1.5633333333333332,300.0,290.0
Class2,P2,concave_d2x=0-002,11.368095238095238,0.0344853952530168,11.368186042769517,1.4000029726618557,2.0033333333333334,300.0,300.0
Class2,P3,concave_d2x=0-002,10.104314420803782,0.06821317738620353,10.10460681985542,4.776747225170543,1.4133333333333333,300.0,282.0
Class3,P1,concave_d2x=0-002,0.9248971193415638,0.003432800185859435,0.9249136983336701,0.7839651122059506,0.5633333333333334,300.0,162.0
Class3,P2,concave_d2x=0-002,6.856111111111112,0.020386484028754887,6.85615981296648,0.6266710521166546,1.6866666666666668,300.0,300.0
Class3,P3,concave_d2x=0-002,11.697722222222222,0.05088667133334553,11.697882407721114,2.9233976431730193,1.9066666666666667,300.0,300.0
Class4,P1,concave_d2x=0-002,,,,,0.0,100.0,0.0
Class4,P2,concave_d2x=0-002,0.5356666666666667,0.0011387715679107616,0.5356688211436631,0.0800000785352498,1.16,100.0,100.0
Class4,P3,concave_d2x=0-002,,,,,0.0,100.0,0.0
