File,P1,P2,P3
Class4_it2_example_0001,-1,66,-1
Class4_it2_example_0002,-1,63,-1
Class4_it2_example_0003,-1,74,-1
Class4_it2_example_0004,-1,76,-1
Class4_it2_example_0005,-1,61,-1
Class4_it2_example_0006,-1,64,-1
Class4_it2_example_0007,-1,59,-1
Class4_it2_example_0008,-1,60,-1
Class4_it2_example_0009,-1,51,-1
Class4_it2_example_0010,-1,63,-1
Class4_it2_example_0011,-1,55,-1
Class4_it2_example_0012,-1,46,-1
Class4_it2_example_0013,-1,47,-1
Class4_it2_example_0014,-1,45,-1
Class4_it2_example_0015,-1,44,-1
Class4_it2_example_0016,-1,48,-1
Class4_it2_example_0017,-1,70,-1
Class4_it2_example_0018,-1,71,-1
Class4_it2_example_0019,-1,51,-1
Class4_it2_example_0020,-1,64,-1
Class4_it2_example_0021,-1,57,-1
Class4_it2_example_0022,-1,61,-1
Class4_it2_example_0023,-1,60,-1
Class4_it2_example_0024,-1,70,-1
Class4_it2_example_0025,-1,55,-1
Class4_it2_example_0026,-1,64,-1
Class4_it2_example_0027,-1,66,-1
Class4_it2_example_0028,-1,52,-1
Class4_it2_example_0029,-1,72,-1
Class4_it2_example_0030,-1,62,-1
Class4_it2_example_0031,-1,65,-1
Class4_it2_example_0032,-1,62,-1
Class4_it2_example_0033,-1,58,-1
Class4_it2_example_0034,-1,56,-1
Class4_it2_example_0035,-1,62,-1
Class4_it2_example_0036,-1,69,-1
Class4_it2_example_0037,-1,53,-1
Class4_it2_example_0038,-1,53,-1
Class4_it2_example_0039,-1,49,-1
Class4_it2_example_0040,-1,50,-1
Class4_it2_example_0041,-1,76,-1
Class4_it2_example_0042,-1,60,-1
Class4_it2_example_0043,-1,61,-1
Class4_it2_example_0044,-1,62,-1
Class4_it2_example_0045,-1,54,-1
Class4_it2_example_0046,-1,71,-1
Class4_it2_example_0047,-1,66,-1
Class4_it2_example_0048,-1,65,-1
Class4_it2_example_0049,-1,71,-1
Class4_it2_example_0050,-1,67,-1
