Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,curvature,avg,it2_smooth_4Hz,3.54,0.03307327394879329,3.5401643579860473,3.4841628965509246,146.0,106.0,104.0,1.008,1.0
Class1,P2,curvature,avg,it2_smooth_4Hz,3.935483870967742,0.01955105138406262,3.9355592467987246,3.903301120870954,202.0,47.0,48.0,0.996,0.992
Class1,P3,curvature,avg,it2_smooth_4Hz,7.372,0.03976392087487368,7.372134699775904,6.008112354162237,164.0,129.0,86.0,1.172,1.0
Class2,P1,curvature,avg,it2_smooth_4Hz,4.356,0.0412210861849845,4.35622585030133,4.056237281587761,119.0,143.0,131.0,1.048,1.0
Class2,P2,curvature,avg,it2_smooth_4Hz,3.864,0.020021631569784502,3.8640792705999503,3.412075284198865,208.0,53.0,42.0,1.044,1.0
Class2,P3,curvature,avg,it2_smooth_4Hz,8.57,0.06141245374464277,8.570249545440054,7.5402078245841295,148.0,130.0,102.0,1.112,1.0
Class3,P1,curvature,avg,it2_smooth_4Hz,3.28714859437751,0.04105491922233693,3.2874268514058866,2.66689751150283,183.0,80.0,67.0,1.052,0.996
Class3,P2,curvature,avg,it2_smooth_4Hz,4.008032128514056,0.019063303276443015,4.008102615758519,3.618537993874751,191.0,71.0,59.0,1.048,0.996
Class3,P3,curvature,avg,it2_smooth_4Hz,7.248987854251012,0.05248221070156903,7.249201143134423,6.530549115210917,102.0,160.0,148.0,1.048,0.988
Class4,P1,curvature,avg,it2_smooth_4Hz,,,,,0.0,0.0,36.0,0.38,0.28
Class4,P2,curvature,avg,it2_smooth_4Hz,46.61538461538461,0.44126513023451464,46.617557378405955,46.617557378405955,0.0,13.0,50.0,0.26,0.26
Class4,P3,curvature,avg,it2_smooth_4Hz,,,,,0.0,0.0,39.0,0.22,0.22
