Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,wavelet,avg,it2_smooth_4Hz,2.602,0.01878265776981579,2.602074179373433,2.5000669991185425,188.0,85.0,62.0,1.204,1.0
Class1,P2,wavelet,avg,it2_smooth_4Hz,4.134297520661157,0.02110454411407282,4.134380825945078,4.0827258705180505,187.0,64.0,63.0,1.068,0.968
Class1,P3,wavelet,avg,it2_smooth_4Hz,7.260416666666666,0.03923514288829334,7.260548487383726,6.548507896136777,139.0,166.0,111.0,1.352,0.992
Class2,P1,wavelet,avg,it2_smooth_4Hz,3.406,0.02705330956933966,3.406127067122615,3.0681217777968626,161.0,126.0,89.0,1.304,1.0
Class2,P2,wavelet,avg,it2_smooth_4Hz,4.185897435897436,0.020919372260856713,4.1859790492959785,3.97983681480382,198.0,68.0,52.0,1.148,0.988
Class2,P3,wavelet,avg,it2_smooth_4Hz,8.723790322580646,0.06048777982777718,8.724027040789085,8.157476030826242,107.0,206.0,143.0,1.332,0.992
Class3,P1,wavelet,avg,it2_smooth_4Hz,2.429384203480589,0.02709262583847329,2.4295540968310028,1.8916878533111179,210.0,69.0,40.0,1.316,0.996
Class3,P2,wavelet,avg,it2_smooth_4Hz,3.521419009370817,0.015890767550601873,3.521479142254229,3.3052804273654104,203.0,56.0,47.0,1.16,0.996
Class3,P3,wavelet,avg,it2_smooth_4Hz,8.00944669365722,0.05789601835526983,8.009680391185315,7.623700295237014,65.0,245.0,185.0,1.308,0.988
Class4,P1,wavelet,avg,it2_smooth_4Hz,,,,,0.0,0.0,36.0,0.34,0.28
Class4,P2,wavelet,avg,it2_smooth_4Hz,47.6,0.4647523862792082,47.60235428637422,47.469012428933304,0.0,19.0,50.0,0.38,0.3
Class4,P3,wavelet,avg,it2_smooth_4Hz,,,,,0.0,0.0,34.0,0.38,0.32
