Method;Mean_Error;Hit_Rate;Mean_Y_Error;Mean_XY_Error;Peak_Count;Class
concave;7,757;0,772;0,065;7,757;3,983;Class1
curvature;25,268;0,489;0,261;25,27;7,88;Class1
line_perpendicular;7,39;0,849;0,045;7,39;3,16;Class1
line_vertical;7,39;0,849;0,045;7,39;3,16;Class1
modified_scholkmann1;19,047;0,496;0,106;19,047;9,693;Class1
concave;6,001;0,834;0,041;6,001;3,663;Class2
curvature;31,441;0,418;0,354;31,444;7,287;Class2
line_perpendicular;5,553;0,909;0,037;5,553;3,333;Class2
line_vertical;5,553;0,909;0,037;5,553;3,333;Class2
modified_scholkmann1;16,804;0,423;0,068;16,805;9,48;Class2
concave;7,555;0,734;0,099;7,556;3,087;Class3
curvature;32,334;0,47;0,312;32,337;8,277;Class3
line_perpendicular;4,963;0,91;0,043;4,963;3,267;Class3
line_vertical;4,963;0,91;0,043;4,963;3,267;Class3
modified_scholkmann1;17,459;0,447;0,14;17,46;9,43;Class3
concave;3,072;0,92;0,051;3,073;1,64;Class4
curvature;40,452;0,31;0,428;40,455;5,6;Class4
line_perpendicular;5,792;0,82;0,033;5,792;2,35;Class4
line_vertical;5,792;0,82;0,033;5,792;2,35;Class4
modified_scholkmann1;0,49;0,97;0;0,49;9,37;Class4
