Class Peak Mean_XY_Error Min_XY_Error TP FP FN Peak_Count %_Signals_with_Peak Config
Class1 P1 0.2013424952 0.2013424952 1.0 0.0 0.006666666666666667 0.9933333333333333 0.9933333333333333 it1_avg_concave,it1_avg_concave_d2x=0-002
Class1 P1 0.2023413285 0.2006691089 1.0 0.0 0.0033333333333333335 1.0 0.9966666666666667 it1_full_concave,it1_full_concave_d2x=0-002
Class1 P1 0.2048612877 0.2048612877 1.0 0.0 0.04 0.96 0.96 it1_full_concave_tuned,it1_none_concave_tuned
Class1 P1 0.2062938841 0.2062938841 1.0 0.0 0.04666666666666667 0.9533333333333334 0.9533333333333334 it1_avg_concave_tuned
Class1 P1 0.2099645938 0.2099645938 1.0 0.0 0.06333333333333334 0.9366666666666666 0.9366666666666666 it1_whiskers_concave,it1_whiskers_concave_d2x=0-002,it1_whiskers_concave_tuned
Class1 P1 1.1177956144 0.953344781 0.9833333333333333 0.03666666666666667 0.016666666666666666 1.18 1.0 it1_smooth_3Hz_avg_wavelet
Class1 P1 1.203359827 1.203359827 0.9733333333333334 0.02666666666666667 0.02666666666666667 1.0 1.0 it1_smooth_3Hz_avg_line_distance_3
Class1 P1 1.3333539907 1.3333539907 0.9666666666666667 0.03333333333333333 0.03333333333333333 1.0 1.0 it1_smooth_3Hz_avg_hilbert
Class1 P1 1.3879991748 1.3879991748 0.9899665551839465 0.010033444816053512 0.013333333333333334 0.9966666666666667 0.9966666666666667 it1_smooth_4Hz_avg_concave,it1_smooth_4Hz_avg_concave_d2x=0-002
Class1 P1 1.7050376657 1.5833650285 0.9333333333333333 0.09 0.06666666666666667 1.1933333333333334 1.0 it1_smooth_4Hz_avg_wavelet
Class1 P2 2.5715028733 2.3956724795 0.8461538461538461 0.20512820512820512 0.23 0.9566666666666667 0.91 it1_avg_line_distance_3
Class1 P2 3.0241848594 3.0241848594 0.8724137931034482 0.12758620689655173 0.15666666666666668 0.9666666666666667 0.9666666666666667 it1_smooth_4Hz_avg_line_distance_3
Class1 P2 3.2121273681 3.1793686992 0.8344827586206897 0.16896551724137931 0.19333333333333333 0.97 0.9666666666666667 it1_smooth_4Hz_avg_curvature
Class1 P2 3.6738291266 3.6099974946 0.8049645390070922 0.24113475177304963 0.24333333333333335 1.06 0.94 it1_smooth_4Hz_avg_wavelet
