Class,Peak,Method,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,concave_tuned,0.2048611111111111,0.0002025932102532482,0.20486128769959505,0.20486128769959505,288.0,0.0,12.0,0.96,0.96
Class1,P2,concave_tuned,4.863636363636363,0.021779529495649142,4.863710017463284,4.863710017463284,32.0,12.0,268.0,0.14666666666666667,0.14666666666666667
Class1,P3,concave_tuned,1.3292011019283747,0.0027678367306075164,1.3292082368840383,0.9876089121526738,232.0,35.0,68.0,0.9066666666666666,0.8066666666666666
Class2,P1,concave_tuned,0.6391752577319587,0.0009440634011215822,0.639176379243489,0.639176379243489,188.0,6.0,112.0,0.6466666666666666,0.6466666666666666
Class2,P2,concave_tuned,1.6194444444444445,0.0029848077953699655,1.6194492375652894,1.3944491614529197,170.0,18.0,130.0,0.6433333333333333,0.6
Class2,P3,concave_tuned,4.23404255319149,0.023257730104589022,4.234152279418873,4.106492117916269,36.0,13.0,264.0,0.16333333333333333,0.15666666666666668
Class3,P1,concave_tuned,2.2142857142857144,0.004685208561327774,2.214291809126331,2.214291809126331,14.0,0.0,286.0,0.04666666666666667,0.04666666666666667
Class3,P2,concave_tuned,1.1944444444444444,0.002763956018536063,1.1944497048398182,0.8798497972559575,250.0,23.0,50.0,0.9133333333333333,0.86
Class3,P3,concave_tuned,1.0277777777777777,0.0017578927781921874,1.0277806972931767,0.9236131860820402,139.0,10.0,161.0,0.5066666666666667,0.48
Class4,P1,concave_tuned,,,,,0.0,0.0,50.0,0.56,0.5
Class4,P2,concave_tuned,,,,,0.0,0.0,100.0,0.0,0.0
Class4,P3,concave_tuned,,,,,0.0,0.0,98.0,0.03,0.02
