Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,line_distance_3,avg,it1_smooth_3Hz,1.2033333333333334,0.006349554143591078,1.2033598270083823,1.2033598270083823,292.0,8.0,8.0,1.0,1.0
Class1,P2,line_distance_3,avg,it1_smooth_3Hz,4.157407407407407,0.018330096499781023,4.157463998756833,4.157463998756833,171.0,45.0,129.0,0.72,0.72
Class1,P3,line_distance_3,avg,it1_smooth_3Hz,6.508532423208191,0.03417505495706745,6.508648030418301,6.508648030418301,128.0,165.0,172.0,0.9766666666666667,0.9766666666666667
Class2,P1,line_distance_3,avg,it1_smooth_3Hz,2.298611111111111,0.013585494558063259,2.2986617135785696,2.2986617135785696,229.0,59.0,71.0,0.96,0.96
Class2,P2,line_distance_3,avg,it1_smooth_3Hz,2.314009661835749,0.008866609273891114,2.3140369182407854,2.3140369182407854,180.0,27.0,120.0,0.69,0.69
Class2,P3,line_distance_3,avg,it1_smooth_3Hz,7.741496598639456,0.048369120982072696,7.741668785279702,7.741668785279702,46.0,248.0,254.0,0.98,0.98
Class3,P1,line_distance_3,avg,it1_smooth_3Hz,1.9507575757575757,0.015224591742887211,1.9508277249128096,1.9508277249128096,241.0,23.0,59.0,0.88,0.88
Class3,P2,line_distance_3,avg,it1_smooth_3Hz,3.2283464566929134,0.014334603129528861,3.2283911465181765,3.2283911465181765,170.0,84.0,130.0,0.8466666666666667,0.8466666666666667
Class3,P3,line_distance_3,avg,it1_smooth_3Hz,9.119341563786008,0.07271028699397583,9.119658648500502,9.119658648500502,31.0,212.0,269.0,0.81,0.81
Class4,P1,line_distance_3,avg,it1_smooth_3Hz,,,,,0.0,0.0,70.0,0.3,0.3
Class4,P2,line_distance_3,avg,it1_smooth_3Hz,61.75,0.5096652841902737,61.75220972935178,61.75220972935178,0.0,16.0,100.0,0.16,0.16
Class4,P3,line_distance_3,avg,it1_smooth_3Hz,,,,,0.0,0.0,83.0,0.17,0.17
