Class,Peak,Method,Range,Dataset,Mean_X_Error,Mean_Y_Error,Mean_XY_Error,Min_XY_Error,TP,FP,FN,Peak_Count,%_Signals_with_Peak
Class1,P1,hilbert,avg,it1_smooth_3Hz,1.3333333333333333,0.00661706373306354,1.3333539906605976,1.3333539906605976,290.0,10.0,10.0,1.0,1.0
Class1,P2,hilbert,avg,it1_smooth_3Hz,9.64516129032258,0.03175429395388623,9.645231729325499,9.645231729325499,36.0,26.0,264.0,0.20666666666666667,0.20666666666666667
Class1,P3,hilbert,avg,it1_smooth_3Hz,3.1312741312741315,0.009037816075234269,3.131291126618464,3.131291126618464,164.0,95.0,136.0,0.8633333333333333,0.8633333333333333
Class2,P1,hilbert,avg,it1_smooth_3Hz,1.46,0.00715890981785287,1.4600239498245813,1.4600239498245813,281.0,19.0,19.0,1.0,1.0
Class2,P2,hilbert,avg,it1_smooth_3Hz,2.8175675675675675,0.007662513980617509,2.817586330276355,2.817586330276355,100.0,48.0,200.0,0.49333333333333335,0.49333333333333335
Class2,P3,hilbert,avg,it1_smooth_3Hz,2.8505747126436782,0.010245823993586324,2.8505992366229838,2.8505992366229838,119.0,55.0,181.0,0.58,0.58
Class3,P1,hilbert,avg,it1_smooth_3Hz,2.2083333333333335,0.013321356226599385,2.2083964105355376,2.2083964105355376,60.0,12.0,240.0,0.24,0.24
Class3,P2,hilbert,avg,it1_smooth_3Hz,2.622137404580153,0.008774996680084291,2.622159198822777,2.622159198822777,191.0,71.0,109.0,0.8733333333333333,0.8733333333333333
Class3,P3,hilbert,avg,it1_smooth_3Hz,1.7633587786259541,0.005575855944177189,1.7633713182266428,1.7633713182266428,118.0,13.0,182.0,0.43666666666666665,0.43666666666666665
Class4,P1,hilbert,avg,it1_smooth_3Hz,,,,,0.0,0.0,70.0,0.3,0.3
Class4,P2,hilbert,avg,it1_smooth_3Hz,,,,,0.0,0.0,100.0,0.0,0.0
Class4,P3,hilbert,avg,it1_smooth_3Hz,,,,,0.0,0.0,99.0,0.01,0.01
